name,item,party,partyLabel,area,areaLabel,position
MBOYA MBANGUE Jacob,,Q953447,RDPC,Q607499,SUD OUEST,
MEBANDE B. ép. ABDOULBAGUI,,Q953447,RDPC,Q845168,EST,
MELAGA Odette,,Q953447,RDPC,Q165784,OUEST,
MENDOUA née ATANGANA A.C.C,,Q953447,RDPC,Q857122,SUD,
MGBATOU Pierre,,Q953447,RDPC,Q739951,CENTRE,
MOAKEYA Odile Solange,,Q953447,RDPC,Q845168,EST,
MOHAMADOU GASSIMOU,,Q953447,RDPC,Q502341,NORD,
MONJOWA LIFAKA Emilia,,Q953447,RDPC,Q165784,OUEST,
MOUTYMBOU Rosette J. p AYAYI,,Q953447,RDPC,Q845172,LITTORAL,
MPACKO KOTTO Jean-Claude,,Q953447,RDPC,Q845172,LITTORAL,
MUBUN NTAM James,,Q1470113,SDF,Q823946,NORD OUEST,
MUNCHIPOU YACOUBA,,Q3550257,UDC,Q165784,OUEST,
MUYALI BOYA Mary ép. MEBOKA,,Q953447,RDPC,Q607499,SUD OUEST,
MVINDI OBAMA Gaston,,Q953447,RDPC,Q739951,CENTRE,
MVONDO ASSAM Bonaventure,,Q953447,RDPC,Q857122,SUD,
