name,item,party,partyLabel,area,areaLabel,position
OWONA KONO Joseph Hyacinthe,,Q953447,RDPC,Q845172,LITTORAL,
OYONO Martin,,Q953447,RDPC,Q857122,SUD,
Paul NJI TUMASANG,,Q1470113,SDF,Q823946,NORD OUEST,
PEYIPAHOUO Riratou,,Q3550257,UDC,Q165784,OUEST,
RAMADAN Fils de CHETIMA OUMAR,,Q953447,RDPC,Q823976,EXTREME NORD,
SADJO DAOUDA,,Q953447,RDPC,Q502341,NORD,
SADJO KOUMAI,,Q953447,RDPC,Q823976,EXTREME NORD,
SALI DAIROU,,Q953447,RDPC,Q823976,EXTREME NORD,
SALOMON Fils de DOUVOGO,,Q953447,RDPC,Q823976,EXTREME NORD,
SANI MOHAMADOU,,Q953447,RDPC,Q351514,ADAMAOUA,
SASSOUAN HIRI HIRI,,Q953447,RDPC,Q823976,EXTREME NORD,
SILIKAM née MANAMOUROU I.M.,,Q953447,RDPC,Q823976,EXTREME NORD,
SIME Pierre,,Q953447,RDPC,Q845172,LITTORAL,
SONKE Benjamin,,Q953447,RDPC,Q165784,OUEST,
SOP Jean Georges,,Q953447,RDPC,Q739951,CENTRE,
