name,item,party,partyLabel,area,areaLabel,position
FOBI NCHINDA Simon,,Q1470113,SDF,Q823946,NORD OUEST,
FOINDING Calvin,,Q953447,RDPC,Q165784,OUEST,
FONGANG Joseph Confiance,,Q953447,RDPC,Q165784,OUEST,
FONSO Peter CHOO,,Q1470113,SDF,Q823946,NORD OUEST,
FOSSI JACOB,,Q953447,RDPC,Q165784,OUEST,
FUH CALISTUS Gentry,,Q953447,RDPC,Q823946,NORD OUEST,
Genesis MBUCKSEK,,Q953447,RDPC,Q823946,NORD OUEST,
GONONDO Jean,,Q953447,RDPC,Q823976,EXTREME NORD,
HALIA Moussa MOUFTA,,Q953447,RDPC,Q351514,ADAMAOUA,
HAMADAMA DJIDJIOUA,,Q953447,RDPC,Q351514,ADAMAOUA,
HAMADOU ALI BACHIR,,Q953447,RDPC,Q351514,ADAMAOUA,
HAMADOU SALI,,Q953447,RDPC,Q823976,EXTREME NORD,
HAMAN TCHIOUTO,,Q953447,RDPC,Q823976,EXTREME NORD,
HAMATOUKOUR BOBBO,,Q953447,RDPC,Q351514,ADAMAOUA,
HAROUNA NYAKO,,Q953447,RDPC,Q502341,NORD,
