name,item,party,partyLabel,area,areaLabel,position
BATIKBONAK Jean-Marie,,Q953447,RDPC,Q739951,CENTRE,
BOKWE Samuel NGOE,,Q953447,RDPC,Q607499,SUD OUEST,
BOTOULI Née BIANG Paulette,,Q953447,RDPC,Q857122,SUD,
BOUBA André,,Q953447,RDPC,Q502341,NORD,
BOULOU NGUIZI Joseph,,Q953447,RDPC,Q823976,EXTREME NORD,
BOUOBDA,,Q953447,RDPC,Q165784,OUEST,
BUJUNG BEDE James,,Q1470113,SDF,Q823946,NORD OUEST,
CAVAYE YEGUIE DJIBRIL,,Q953447,RDPC,Q823976,EXTREME NORD,
DANATA Paul,,Q953447,RDPC,Q845168,EST,
DATOUO Théodore,,Q953447,RDPC,Q165784,OUEST,
DJAMARA LOURSANTOU,,Q953447,RDPC,Q823976,EXTREME NORD,
DJIBRILLA KAW BAKARY,,Q953447,RDPC,Q823976,EXTREME NORD,
DJOMGUE Paul Eric,,Q953447,RDPC,Q739951,CENTRE,
DOOH Collins Albert KOUOH,,Q953447,RDPC,Q845172,Littoral,
DOUGOUF DJONKIO Ali,,Q953447,RDPC,Q823976,EXTREME NORD,
