name,item,party,partyLabel,area,areaLabel,position
NJINGUM Musa MBUTOH,,Q953447,RDPPC,Q823946,NORD OUEST,
NJOCKE Abel Calvin,,Q953447,RDPPC,Q845172,LITTORAL,
NJONG Evaristus NDIM,,Q1470113,SDF,Q823946,NORD OUEST,
NKELE PALMY William MBOE,,Q1470113,SDF,Q607499,SUD OUEST,
NKEMBENG Edward,,Q1470113,SDF,Q845172,LITTORAL,
NKODO DANG Roger,,Q953447,RDPC,Q739951,CENTRE,
NKOLO MENYE Hubert,,Q953447,RDPC,Q739951,CENTRE,
NLEND Albert,,Q953447,RDPC,Q845172,LITTORAL,
NNOMO BENGONO Joseph C.,,Q953447,RDPC,Q739951,CENTRE,
NOUMBA Serges Siméon,,Q1470113,SDF,Q165784,OUEST,
NSA Moussa,,Q953447,RDPC,Q165784,OUEST,
NYINDI Henriette F. ép. ELOUNA,,Q953447,RDPC,Q739951,CENTRE,
NZUOBONTANE Andrew NGABE,,Q953447,RDPC,Q607499,SUD OUEST,
OBENOFUNDE Moses BESONG,,Q953447,RDPC,Q607499,SUD OUEST,
ONDIGUI THADDEUS,,Q953447,RDPC,Q739951,CENTRE,
