name,item,party,partyLabel,area,areaLabel,position
KWEI Andrew MNGO,,Q953447,RDPC,Q823946,NORD OUEST,
LEKENE DONFACK,,Q953447,RDPC,Q165784,OUEST,
LIBOCK Jean Calvin,,Q953447,RDPC,Q739951,CENTRE,
LYONGA Rachel C. née EPOUPA,,Q953447,RDPC,Q607499,SUD OUEST,
MAKEMBE BEBEY Emmanuel,,Q953447,RDPC,Q845172,LITTORAL,
MAMIGUE Jean,,Q953447,RDPC,Q823976,EXTREME NORD,
MANFOUO David,,Q953447,RDPC,Q165784,OUEST,
MATSANG SEYI Mama,,Q953447,RDPC,Q739951,CENTRE,
MATTA Joseph Roland,,Q953447,RDPC,Q845168,EST,
MBAH NDAM Joseph NJANG,,Q1470113,SDF,Q823946,NOR OUEST,
MBALLA AMBASSA Laurent G.,,Q953447,RDPC,Q739951,CENTRE,
MBAPTE Jean-Baptiste,,Q953447,RDPC,Q845172,LITTORAL,
MBE ASSAE MENDOMO Théodore A.,,Q953447,RDPC,Q857122,SUD,
MBIAM Emmanuel,,Q953447,RDPC,Q857122,SUD,
MBOUI Joseph,,Q953447,RDPC,Q845172,LITTORAL,
