name,item,party,partyLabel,area,areaLabel,position
ABAKAR MAHAMAT,,Q953447,RDPC,Q823976,EXTREME NORD,
ABBA MALLA BOUKAR,,Q953447,RDPC,Q823976,EXTREME NORD,
ABDOU KIDANTANG,,Q953447,RDPC,Q823976,EXTREME NORD,
ABDOUL-KADRI BELLO,,Q953447,RDPC,Q351514,ADAMAOUA,
ABDOULAYE BOUGUE,,Q953447,RDPC,Q502341,NORD,
ABUNAW Rose MAKIA AGBOR,,Q953447,RDPC,Q607499,SUD OUEST,
ADAMA MODI,,Q953447,RDPC,Q823976,EXTREME NORD,
ADAMOU SAIDOU,,Q953447,RDPC,Q502341,NORD,
ADJIBOLO Philémon,,Q953447,RDPC,Q845168,EST,
AHIDJO MOHAMADOU,,Q6979097,UNDP,Q502341,NORD,
AKAMBA ASSEMBE Pierre Georges,,Q953447,RDPC,Q739951,CENTRE,
ALI ADJIT,,Q953447,RDPC,Q823976,EXTREME NORD,
ALI MAMOUDA,,Q953447,RDPC,Q502341,NORD,
ALIYOUM FADIL,,Q953447,RDPC,Q502341,NORD,
AMADOU ADJI,,Q6979097,UNDP,Q823976,EXTREME NORD,
