name,item,party,partyLabel,area,areaLabel,position
IBRAHIM Antoine Désiré,,Q953447,RDPC,Q845168,EST,
IBRAHIM DEWA,,Q953447,RDPC,Q351514,ADAMAOUA,
ITOE William EBEKU,,Q953447,RDPC,Q607499,SUD OUEST,
KALBASSOU Daniel,,Q953447,RDPC,Q823976,EXTREME NORD,
KAMSSOULOUM ABBA KABIR,,Q953447,RDPC,Q823976,EXTREME NORD,
KANGA Jean-Jacques,,Q953447,RDPC,Q165784,OUEST,
KEGNE M. Joséphine ép. FOTSO,,Q953447,RDPC,Q165784,OUEST,
KERBAI LAOUKOURA Jean Marie,,Q953447,RDPC,Q502341,NORD,
KETCHA Jean,,Q953447,RDPC,Q165784,OUEST,
KETCHANGA Célestin,,Q953447,RDPC,Q845172,LITTORAL,
KOA Luc,,Q953447,RDPC,Q739951,CENTRE,
KOAH SONGO Gabriel,,Q953447,RDPC,Q739951,CENTRE,
KOMBA Gaston,,Q953447,RDPC,Q845172,LITTORAL,
KOMBO GBERI,,Q953447,RDPC,Q845168,EST,
KOUPENJU Simon,,Q3550257,UDC,Q165784,OUEST,
