item,itemLabel,startDate,endDate
Q355960,Sadou Hayatou,1991-04-26,1992-04-09
Q324886,Simon Achidi Achu,1992-04-09,1996-09-19
Q708023,Peter Mafany Musonge,1996-09-19,2004-12-08
Q433938,Ephraïm Inoni,2004-12-08,2009-06-30
Q57840,Philémon Yang,2009-06-30,2019-01-04
Q60441515,Joseph Ngute,2019-01-04,
