item,itemLabel,startDate,endDate,psid
Q324886,Simon Achidi,1992-04-09,1996-09-19,Q324886-8CDFB293-E5D0-422C-B8A3-CE9C4ECD13DC
Q355960,Sadou Hayatou,1991-04-26,1992-04-09,Q355960-9154396A-D3AB-455D-90B4-96491C8F0A02
Q433938,Ephraïm Inoni,2004-12-08,2009-06-30,Q433938-A97C8E7B-1C6C-46DF-9DF4-58735BB9AB8E
Q57840,Philémon Yang,2009-06-30,2019-01-04,Q57840-2BEA936F-2DA6-44F5-9165-FA1382437EE2
Q60441515,Joseph Ngute,2019-01-04,,Q60441515-E7F2B501-E8DC-401C-AA11-D659E03D0E1C
Q708023,Peter Mafany Musonge,1996-09-19,2004-12-08,Q708023-7987217D-6B8E-42BC-960F-CF98924F26EA
