pageid,title
392319,Paul Biya
5543262,Laurent Esso
6526956,Bello Bouba Maigari
14094664,Henri Eyebe Ayissi
19530875,Michel Tommo Monthé
20836608,Pierre Hélé
20876760,Hamadou Moustapha
21317963,René Sadi
21796000,Mahamat Paba Salé
24244412,Cavayé Yéguié Djibril
24368622,Issa Tchiroma
24725675,Grégoire Owona
25006482,Louis-Paul Motazé
25382436,Séraphin Magloire Fouda
25720945,Dominique Awono Essama
25807111,Jean-Baptiste Baskouda
30228714,Bah Oumarou Sanda
39660526,Marcel Niat Njifenji
53021064,Célestine Ketcha Courtès
56144505,Florence Rita Arrey
58177276,Marie-Thérèse Abena Ondoa
58177288,Pauline Irene Nguene
58177415,Pauline Nalova Lyonga
58202848,Narcisse Mouelle Kombi
58208741,Luc Magloire Atangana Mbarga
59623240,Joseph Ngute
61316016,René Claude Meka
