item,name,party,partyLabel,region,regionLabel,startDate,endDate,gender,psid
Q111355834,Abbo Hamadou,Q953447,RDPC,Q502341,Province du Nord,2013-10-29,2019-12-29,,Q111355834-A1827FE2-C782-43CB-B766-D2E526920D5A
Q111355835,Aboulahi Maikano,,,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355835-476DC7EF-0557-40DA-82DC-EF21ABD27A2B
Q111355836,Agnès Ndode Ntube,,,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355836-7FF6CE89-2571-405D-89C7-5F34F5913CEC
Q111355838,Andrew Moffa Otte,,,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355838-47A23B73-0C4E-4589-B92D-6983ADADE2A4
Q111355839,Baba Hamadou,Q1470113,SDF,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355839-D20E56DB-739F-40CF-BF97-31BEAE1A53DA
Q111355840,Badel Ndinga Ndinga,,,Q845168,Est,2013-10-29,2019-12-29,,Q111355840-55FAF358-D18A-47D8-BAEB-0050049D2E0A
Q111355841,Benjamin Amama Amama,,,Q845168,Est,2013-10-29,2019-12-29,,Q111355841-5EEFA981-93E4-4349-B990-042676AA57D4
Q111355842,Bernard Tantse Tagne,,,Q165784,Ouest,2013-10-29,2019-12-29,,Q111355842-E9C8B737-1A46-47E7-A985-0A48212C3473
Q111355843,Boukar Abba,,,Q823976,Extrême-Nord,2013-10-29,2019-12-29,,Q111355843-58AD688C-C731-467C-B76B-1020C1FA9417
Q111355844,Calvin Zang Oyono,,,Q857122,Région du Sud,2013-10-29,2019-12-29,,Q111355844-6083DA00-E7A4-4783-8446-BACF95127C67
Q111355845,Charles Mbella Moki,,,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355845-A30331A6-0064-4257-8D71-24889AF11513
Q111355848,Daniel Matute,,,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355848-F2BBD0DA-4EED-490E-95EB-2C3934D60A56
Q111355849,David Etame Massoma,Q953447,RDPC,Q845172,Littoral,2013-10-29,2019-12-29,,Q111355849-9C70DC4A-6F4F-4163-B4BB-EF9AC40A493E
Q111355850,David Wallang,,,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355850-F484A90D-0F6E-41ED-BD53-8C83FC96FD59
Q111355851,Delphine Metiedje Nguifo Tchetagne,,,Q165784,Ouest,2013-10-29,2019-12-29,,Q111355851-2740C851-13EE-46B9-A498-C883BE23F984
Q111355852,Elie Essomba Tsoungui,,,Q739951,Centre,2013-10-29,2019-12-29,,Q111355852-771DF59E-5340-4081-96EC-01732CD8100B
Q111355853,Emma Eno Lafon,,,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355853-D2059B1D-48A9-4E7F-A6EF-5F5D7235B499
Q111355854,Emmanuel Nemde,,,Q739951,Centre,2013-10-29,2019-12-29,,Q111355854-10E9BADB-070B-447F-A39A-59ED1AF38638
Q111355855,Etienne Sonkin,,,Q165784,Ouest,2013-10-29,2019-12-29,,Q111355855-B1F16853-FAC3-4B18-A438-5C9546D88F94
Q111355856,François Xavier Menye Ondo,Q953447,RDPC,Q857122,Région du Sud,2013-10-29,2019-12-29,,Q111355856-90126ADA-CA32-476C-B05A-2F88CFD65731
Q111355858,Ganyoufa Fon Doh,Q953447,RDPC,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355858-0E516898-A7CC-4077-9AE1-0623A1911F5E
Q111355859,Grégoire Mba Mba,,,Q857122,Région du Sud,2013-10-29,2019-12-29,,Q111355859-5520E537-6E70-406A-92D0-340134A51481
Q111355860,Hamadou Alioum Aladji,,,Q823976,Extrême-Nord,2013-10-29,2019-12-29,,Q111355860-1E7B572D-E8A0-47B4-BEEB-C33D435EB5F2
Q111355861,Ignatus Bayin Dinga,,,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355861-74EEABB9-B346-459C-842E-8A4E7781F288
Q111355862,Jean Mboundjo,,,Q845168,Est,2013-10-29,2019-12-29,,Q111355862-E90B50AA-3A07-478D-8D2F-4ADB1D997493
Q111355863,Jean Tsomelou,,,Q165784,Ouest,2013-10-29,2019-12-29,,Q111355863-D222AC80-D88B-4C4C-BA61-D5ADF14114CC
Q111355864,Jean-Jules Ebongue Ngoh,,,Q845172,Littoral,2013-10-29,2019-12-29,,Q111355864-09767491-FC8C-4176-AB3C-9DA9C9F58015
Q111355865,Jean-Marie Mama,,,Q739951,Centre,2013-10-29,2019-12-29,,Q111355865-464C80AB-5B40-4166-96C2-DC80D687D6A1
