item,name,party,partyLabel,region,regionLabel,startDate,endDate,gender,psid
Q111355866,Jean-Marie Pongmoni,Q953447,RDPC,Q739951,Centre,2013-10-29,2019-12-29,,Q111355866-DDC53928-4B7C-450B-97A8-3E7A10057539
Q111355867,Joseph Mata,Q953447,RDPC,Q845168,Est,2013-10-29,2019-12-29,,Q111355867-EFF1DFC6-EEE7-4462-9C04-8317CD1917A1
Q111355868,Joël Nguimbe,,,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355868-D135C9CB-E45B-4FA0-8E56-F8BE7347FAA0
Q111355870,Julienne Djakaou,,,Q823976,Extrême-Nord,2013-10-29,2019-12-29,,Q111355870-C4FE6F8E-95A5-470F-BFCE-373A6EA47CC2
Q111355871,Laurent Nkodo,Q953447,RDPC,Q739951,Centre,2013-10-29,2019-12-29,,Q111355871-A92B9030-B0BD-4FCE-AFE0-025972711502
Q111355872,Lucas Fontem Njifua,,,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355872-33608D24-092D-43D0-BEDB-9BCCFE240EC6
Q111355873,Manouf Mahamat Bhar,Q953447,RDPC,Q823976,Extrême-Nord,2013-10-29,2019-12-29,,Q111355873-D1C9662C-72B6-4F0D-8D78-BB2301814185
Q111355874,Marava Abdoulaye Wouyack,,,Q823976,Extrême-Nord,2013-10-29,2019-12-29,,Q111355874-9EFEE9D2-E64D-4385-BF13-E6FFAF05D07D
Q111355875,Marie Armande Din Bell,,,Q845172,Littoral,2013-10-29,2019-12-29,,Q111355875-B30C43BC-4686-494A-ABD4-CC9059A15B6A
Q111355876,Marie-Claire Moampea,,,Q845168,Est,2013-10-29,2019-12-29,,Q111355876-C39BCB7A-5D31-4633-8787-C2AAB5B7626E
Q111355877,Martin Amrakaye,,,Q823976,Extrême-Nord,2013-10-29,2019-12-29,,Q111355877-341C5E4A-C2E5-409B-AB16-479FCE26E7F2
Q111355878,Maurice Amidou,,,Q502341,Province du Nord,2013-10-29,2019-12-29,,Q111355878-AB262C9E-3A8A-4C26-A8D0-A33BA058297A
Q111355879,Mbita Mvaebeme,,,Q857122,Région du Sud,2013-10-29,2019-12-29,,Q111355879-95104EDD-5355-4BE3-B25C-E0F80606D5DC
Q111355880,Mohama Gabdo,Q1470113,SDF,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355880-8D993D59-3B19-42F1-9FBF-851BCFC12F8A
Q111355881,Moussa Sambo,Q1470113,SDF,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355881-F2025916-A08A-477F-A100-A6CF25980835
Q111355882,Njei Fon Teche,Q953447,RDPC,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355882-D4CFCBE6-ECF7-489C-99C4-502CE65A530B
Q111355883,Pascal Anong Adibime,,,Q739951,Centre,2013-10-29,2019-12-29,,Q111355883-7AA9A56B-77CD-4E42-9E2A-7ACD4C4E3071
Q111355884,Paul Haman,,,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355884-62748163-785A-4F39-A319-AFBD41956A42
Q111355885,Paul Maande,,,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355885-35D6A731-EF38-4FA4-83F9-F64806B7AF5D
Q111355886,Paul Tchatchouang,,,Q165784,Ouest,2013-10-29,2019-12-29,,Q111355886-0696E9D2-8BCF-4CC6-BBC1-1ECB382553D2
Q111355887,Paulette Bisseck,Q953447,RDPC,Q857122,Région du Sud,2013-10-29,2019-12-29,,Q111355887-E54ABC1B-1696-4A5F-B5EB-9E149F4FC3BD
Q111355888,Payounni Bebnone,,,Q502341,Province du Nord,2013-10-29,2019-12-29,,Q111355888-E7486C6B-FFF5-4C10-80FB-ADE33F9E76B2
Q111355889,Pierre Henri Ngallé Ngoa,Q953447,RDPC,Q857122,Région du Sud,2013-10-29,2019-12-29,,Q111355889-7DA49117-A85E-4B58-9B60-7F3F9C9D77C0
Q111355891,Pierre Namio,,,Q502341,Province du Nord,2013-10-29,2019-12-29,,Q111355891-10F6F33E-BBD0-4DC1-BF46-364C25A06551
Q111355892,Pierre Ngayap,Q953447,RDPC,Q845172,Littoral,2013-10-29,2019-12-29,,Q111355892-3EF10EAA-65C1-4BE8-AC98-9AC52F9F49F6
Q111355893,Pierrette Hayatou,Q953447,RDPC,Q502341,Province du Nord,2013-10-29,2019-12-29,,Q111355893-59348F30-7E54-4F9F-98D9-46D7EDC17957
Q111355894,Pius Ondoua,Q953447,RDPC,Q739951,Centre,2013-10-29,2019-12-29,,Q111355894-2595E32E-74A2-4986-8457-78E436DC0509
Q111355896,Raoul Tchomnou,,,Q165784,Ouest,2013-10-29,2019-12-29,,Q111355896-CA24C7D2-6860-4D9B-B694-ECFB683A3745
Q111355897,Rebecca Amah Ankie Affiong,,,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355897-2B157B3F-C089-4558-ACF8-949E490A6B97
Q111355898,René Ze Nguelle,Q953447,RDPC,Q845168,Est,2013-10-29,2019-12-29,,Q111355898-9246119F-4972-4707-AA3A-AA2E914D251C
Q111355899,Samuel Obam Assam,,,Q857122,Région du Sud,2013-10-29,2019-12-29,,Q111355899-D37B58EA-5924-4665-A187-8D9679022E84
Q111355900,Simon Kingue,,,Q845172,Littoral,2013-10-29,2019-12-29,,Q111355900-1D1C4F23-5C71-4254-A257-76EDC47272F6
Q111355901,Simon Onjwo Chief An Jan,Q953447,RDPC,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355901-0E38379B-5DBF-460A-BD0F-357F3BCBA399
Q111355902,Siroma Aboubakar,,,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355902-A9982E47-0D84-4BC7-AFD1-65957D87CDAD
Q111355903,Songue Madiba,Q953447,RDPC,Q845172,Littoral,2013-10-29,2019-12-29,,Q111355903-6A4127ED-F53A-4B5D-8CD3-6FC7B5E82D79
Q111355904,Stephen Yerima Jikong,,,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355904-B581764B-3F3C-442E-BCD5-0CB3E82E46A1
Q111355905,Sylvestre Naah Ondoua,,,Q739951,Centre,2013-10-29,2019-12-29,,Q111355905-D1E9A193-6C6C-4C7F-A4D0-596794BCBCF8
Q111355906,Tabe Tando Ndiep Nso,,,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,,Q111355906-32AB3057-E391-446B-81A7-3C119EE38B55
Q111355907,Thomas Tobbo Eyoum,,,Q845172,Littoral,2013-10-29,2019-12-29,,Q111355907-1AC099B5-C42E-41A2-B9EA-C60068CB1648
Q111355908,Tidjani Ahmadou,,,Q351514,Adamaoua,2013-10-29,2019-12-29,,Q111355908-79B4911D-DEC4-496E-83BD-7EEE426B1BD9
Q111355909,Victor Ndjomo Kamga,Q1470113,SDF,Q165784,Ouest,2013-10-29,2019-12-29,,Q111355909-0830E248-2660-4FF4-A4C3-632704F64DB1
Q111355910,Wanlo Chiamua John,,,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355910-5A1064A9-4988-4608-9143-ADB7AE85AE01
Q111355912,Yvonne Asta,,,Q502341,Province du Nord,2013-10-29,2019-12-29,,Q111355912-1A723655-0B0C-4585-A294-F89F6C1EF401
Q111355913,Zacharie Awanga,,,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,,Q111355913-52659483-12F8-4F96-9F25-79027944A66D
Q13468200,Marcel Niat Njifenji,Q1470113,SDF,Q165784,Ouest,2013-10-29,2019-12-29,male,Q13468200-CEEBC1D2-595A-457D-B63F-767C81E3FDCA
Q15819842,Ibrahim Mbombo Njoya,Q1470113,SDF,Q165784,Ouest,2013-10-29,2019-12-29,male,Q15819842-6B79458E-A26C-4014-81FD-2875FD414702
Q16188827,Jean-Baptiste Baskouda,Q953447,RDPC,Q823976,Extrême-Nord,2013-10-29,2019-12-29,male,Q16188827-586F6799-A147-4AF4-B3DB-8B5B2A4A2184
Q18563874,Francis Nkwain,Q953447,RDPC,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,male,Q18563874-F8694C71-2E1E-4FA4-A624-6AD78F170726
Q24951660,Luc René Bell,,,Q739951,Centre,2013-10-29,2019-12-29,male,Q24951660-1D5B2592-225E-4C90-A171-FA1EECB79A87
Q27755043,Victor Fon Mukete,Q953447,RDPC,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,male,Q27755043-FB6D8EA1-B4E5-450B-893A-EEF5915A2A57
Q2840847,Amadou Ali,,,Q502341,Province du Nord,2013-10-29,2019-12-29,male,Q2840847-577CC57B-3D3B-4C56-9648-57F920C4334C
Q28497636,Mahamat Abdoulkarim,,,Q823976,Extrême-Nord,2013-10-29,2019-12-29,male,Q28497636-83B0BE2E-32A4-4220-B9E2-9A45DDBA19A7
Q28655053,Charles Salé,,,Q845168,Est,2013-10-29,2019-12-29,male,Q28655053-2E50CD82-2ECD-452D-BE29-4C085A91E927
Q324886,Simon Achidi Achu,,,Q823946,Région du Nord-Ouest,2013-10-29,2019-12-29,male,Q324886-E2961F85-E65B-43D5-8082-1A958555D0F4
Q39145253,Geneviève Tjoues,,,Q845172,Littoral,2013-10-29,2019-12-29,female,Q39145253-BFF5B85F-03F7-4D50-8099-22EA5074956E
Q39156067,Madeleine Haoua,,,Q351514,Adamaoua,2013-10-29,2019-12-29,female,Q39156067-FB6E232E-925F-4D65-8815-4950970A463C
Q41671751,Isabelle Tokpanou,,,Q845168,Est,2013,,female,Q41671751-9748ab32-9231-475b-baa6-55fa6aecf694
Q41672851,Nicole Okala Bilaï,,,Q739951,Centre,2013-04-29,,female,Q41672851-90c281fb-40b1-004b-b0fa-4f5cbbdfa3f1
Q43457076,Monique Ouli Ndongo,,,Q845168,Est,2013-10-29,2019-12-29,female,Q43457076-C3459137-74C1-4086-88A8-D53F66642464
Q43458360,Delphine Medjo,,,Q857122,Région du Sud,2013-10-29,2019-12-29,female,Q43458360-7462C729-2C10-4741-89C4-462138504D37
Q43459010,Thérèse Eloumba Medjo,,,Q857122,Région du Sud,2013-10-29,2019-12-29,female,Q43459010-E65D5F7A-1686-4E6C-B7D5-DA383F5AD95B
Q43460532,Marlyse Aboui,Q953447,RDPC,Q845168,Est,2013-10-29,2019-12-29,female,Q43460532-CFD0D401-C2D4-4C40-9682-9FB5C3786537
Q5209975,Daissala Dakole,Q953447,RDPC,Q823976,Extrême-Nord,2013-10-29,2019-12-29,male,Q5209975-88E36D17-F3D2-44F2-8CCC-A2D30ECF0732
Q63224523,Claude Kemayou,,,Q165784,Ouest,2013-04-14,,male,Q63224523-0c86197b-4988-3134-cb55-aa906676a7c9
Q708023,Peter Mafany Musonge,Q953447,RDPC,Q607499,Région du Sud-Ouest,2013-10-29,2019-12-29,male,Q708023-BAD979A3-5ABD-41E8-9F2B-410C77E1DA6E
Q95725544,Aboubakary Abdoulaye,Q953447,RDPC,Q502341,Province du Nord,2013-10-29,2019-12-29,male,Q95725544-647A4C47-7B88-4FDF-AD53-9949A34A959D
Q97162227,Roger Victor Mbassa Ndine,,,Q845172,Littoral,2013-10-29,2019-12-29,male,Q97162227-EE2D1D04-E772-4598-A394-B7E3BE60FCFB
Q98165743,Youssoufa Daoua,,,Q502341,Province du Nord,2013-10-29,2019-12-29,male,Q98165743-22FFE428-B2DC-4D0A-823D-5D2B7B280B2C
