@@,item,name,party,partylabel
+++,,Abba Malla,Q953447,RDPC
+++,,Abe Michael Ndra,Q1470113,SDF
+++,,Abomo Fama Margueritte Aline,Q953447,RDPC
+++,,Aboubakar Ibrahim,Q953447,RDPC
+++,,Ada Owona Rose épouse Nguini Effa Marie,Q953447,RDPC
+++,,Adama épouse Djibrine,Q953447,RDPC
+++,,Ahanda Assiga Yves Martin,Q953447,RDPC
+++,Q23001643,Albert Kouinche,Q953447,RDPC
+++,,Aleh Eyabi Clarah,Q953447,RDPC
+++,,Ali Adjit,Q953447,RDPC
+++,,Ali Bachir,Q953447,RDPC
+++,,Ali Mamouda,Q953447,RDPC
+++,,Aliyoum Fadil,Q953447,RDPC
+++,,Amadou Adji,Q953447,RDPC
+++,,Amadou Mohaman,Q6979097,UNDP
+++,,Aminatou,Q953447,RDPC
+++,,Atangana Aligui Celine Catherine épouse Mendouga,Q953447,RDPC
+++,,Ateawung Foju Bernard,Q953447,RDPC
+++,,Awudu Mbaya Cyprian,Q1470113,SDF
+++,,Banadzem Joseph Lukong,Q1470113,SDF
+++,,Banlog Polycarpe,Q953447,RDPC
+++,,Banmi Emmanuel Dingha,Q953447,RDPC
+++,,Baoro Theophile,Q953447,RDPC
+++,,Bapooh Lipot Robert,UPC,UPC
+++,,Bara Julien,Q953447,RDPC
+++,,Bekono Ebah épouse Pauline Ndoumou,Q953447,RDPC
+++,,Bello Limane,Q953447,RDPC
+++,,Biloa Tsilla Zitha Marie Esabelle,Q953447,RDPC
+++,,Bouba Jean Taida,Q953447,RDPC
+++,,Boulou Nguizi Joseph,Q953447,RDPC
+++,Q4160254,Cavaye Yeguié Djibril,Q953447,RDPC
+++,Q16635922,Chebou Kamdem Faustine Villanneau épouse Fotso,Q953447,RDPC
+++,Q16269686,Claude Juimo Siewe Monthé,Q953447,RDPC
+++,,Dahirou Ahmadou,Q6979097,UNDP
+++,,Danata Paul,Q953447,RDPC
+++,,Deffo Oumbe Sangong,Q1470113,SDF
+++,,Dimbele Boui,Q953447,RDPC
+++,,Dimodi Tongo épouse Marlyse Rose Douala Bell,Q953447,RDPC
+++,,Djibrilla,Q953447,RDPC
+++,,Djomgoue Paul Eric,Q953447,RDPC
+++,,Dooh Collins Albert Kouoh,Q953447,RDPC
+++,,Dope Honorine épouse Assongnolebot,Q953447,RDPC
+++,,Dougouf Djonkio Ali,Q953447,RDPC
+++,,Douvaouissa Aissa Hamadi,Q6979097,UNDP
+++,,Dzite épouse Ngassam Thérèse,Q953447,RDPC
+++,,Edena Enih Mbah,Q1470113,SDF
+++,,Edimo Ndoumbe Oscar,Q1470113,SDF
+++,,Ekanga Abata Joachim,Q953447,RDPC
+++,,Ekoka Marguerite Helene épouse Dissake,Q953447,RDPC
+++,,Elise Ndongo Moutome épouse Pokossy Ndoumbe,Q953447,RDPC
+++,,Eloundou Barnabe,Q953447,RDPC
+++,,Emabot Brigitte,Q953447,RDPC
+++,,Emah Etoundi Vincent De Paul,Q953447,RDPC
+++,Q106576581,Emilia Mojowa Lifaka,Q953447,RDPC
+++,,Enow Tanjong,Q953447,RDPC
+++,,Enwe Francis Abi,Q953447,RDPC
+++,,Epondo Fouda Cecile Marie,Q953447,RDPC
+++,,Essame Joseph Ernest Pierre,Q953447,RDPC
+++,,Etombi Ikome Gladys,Q953447,RDPC
+++,,Etong HIlarion,Q953447,RDPC
+++,,Eyoum Minono épouse Epoube Lydienne,Q953447,RDPC
+++,,Fadimatou Sambo,Q953447,RDPC
+++,,Feutheu Jean Claude,Q953447,RDPC
+++,,Fobi Nchinda Simon,Q1470113,SDF
+++,,Fossi Jacob,Q953447,RDPC
+++,,Fritz Ngeka Etoke,Q953447,RDPC
+++,,Fusi Naamukong Wilfred Aziya,Q1470113,SDF
+++,,Gbayanga Robert,Q953447,RDPC
+++,,Genesis Mbucksek,Q1470113,SDF
+++,,Gondji Elias,Q953447,RDPC
+++,,Gonodo Jean,Q953447,RDPC
+++,,Halia Moussa Moufta,Q953447,RDPC
+++,Q18414272,Hamadou Sali,Q953447,RDPC
+++,,Haman Tchiouto,Q953447,RDPC
+++,,Harouna Nyako,Q953447,RDPC
+++,,Ibrahima Dewa,Q953447,RDPC
+++,,Igelle Elias Terhemen,Q953447,RDPC
+++,Q15713969,Jean-Michel Nintcheu,Q1470113,SDF
->,Q38459914,Joshua Osih->Joshua Nambangi Osih,NULL->Q1470113,NULL->SDF
+++,,Kamssouloum Abba Kabir,Q953447,RDPC
+++,,Kankeu Joseph,Q953447,RDPC
+++,,Kegne Mafong Joséphine épouse Fotso,Q953447,RDPC
+++,,Koa Luc,Q953447,RDPC
+++,,Koa Mfeugue Laurentine epouse Mbede,Q953447,RDPC
+++,,Komba Gaston,Q953447,RDPC
+++,,Kombo Gberi,Q953447,RDPC
+++,,Koulagna Abdou,Q953447,RDPC
+++,,Kwarmba Solange,Q953447,RDPC
+++,,Kwei Andrew Mngo,Q1470113,SDF
+++,,Laoussou Pierre,Q15195678,MDR
+++,Q15713967,Laure-Pauline Fotso,Q953447,RDPC
+++,,Lisinge Arthur Ekeke,Q953447,RDPC
+++,Q30546273,Lucien Wantou Siantou,Q953447,RDPC
+++,,Madio Gnitidem Odette Louise épouse Melaga,Q953447,RDPC
+++,,Madjele,Q953447,RDPC
+++,,Mai Rachel,Q953447,RDPC
+++,,Man Jacqueline Christiane,Q953447,RDPC
+++,,Manamourou épouse Silikam,Q953447,RDPC
+++,,Mandio William Peter,Q953447,RDPC
+++,,Manfouo David,Q953447,RDPC
+++,,Manyu,,
+++,,Maounde Leonard,Q953447,RDPC
+++,,Mariam Goni,Q953447,RDPC
+++,,Martin Atinda Mboni,Q953447,RDPC
+++,,Mary Muyali Boya épouse Meboka,Q953447,RDPC
+++,,Matsang Seyi Mama,Q953447,RDPC
+++,,Mbah Ndam Joseph Njang,Q1470113,SDF
+++,,Mballa Ngobo Catherine épouse Mfoula,Q953447,RDPC
+++,,Mbanya Bolevie Petnga,Q1470113,SDF
+++,,Mbapte Jean Baptiste,Q953447,RDPC
+++,,Mbarga Assembe Luc Roger,Q953447,RDPC
