@@,item,name,party,area
->,Q111341028,Findi Stanley Mokondo,Q953447,NULL->Q165784
+++,"",Fonge Fongouck Julius,Q953447,Q857122
---,Q111341029,Fongue Fongouk Julius,Q953447,
---,Q111341031,Ghimbop Josephine,Q953447,
+++,"",Ghimbop Joséphine,Q953447,Q845172
->,Q111341032,Gonondo Jean,Q953447,NULL->Q823976
---,Q111341033,Guiswe Badoma,Q15195678,
+++,"",Guiswe-Badoma,Q15195678,Q607499
->,Q111341034,Halia Moussa Moufta,Q953447,NULL->Q351514
->,Q18414272,Hamadou Sali,Q953447,NULL->Q823976
->,Q111341035,Haman Tchiouto,Q953447,NULL->Q823976
---,Q111341037,Harouna Nyako,Q953447,
---,Q39156537,Hermine Patricia Tomaïno Ndam Njoya,Q3550257,
+++,"",Ibrahima Bobbo,Q6979097,Q502341
---,Q111341038,Ibrahima Bobbo Bello,Q6979097,
->,Q111341039,Injoh Fo’O Ngang Prudencia,Q953447,NULL->Q823946
---,Q15713969,Jean-Michel Nintcheu,Q1470113,
+++,"",Jiha Tankoua,Q3550257,""
->,Q38459914,Joshua Osih->Anyeret Charles,,
---,Q111341040,Juimo Monthe Siewe Claude,Q953447,
+++,"",Juimo Siewe Monthe Claude,Q953447,Q165784
+++,"",Kenfack Sonna Ngneguim Anastasie,Q953447,Q857122
---,Q111341042,Kenfack Sonna Ngueguim Anastasie,Q953447,
+++,"",Koa Mfegue Laurentine Épse Mbede,Q953447,Q739951
---,Q111341043,Koa Mfeugue Laurentine Epouse Mbede,Q953447,
---,Q111341044,Koa Songo,Q953447,
+++,"",Koah Songo Gabriel,Q953447,Q857122
->,Q111341045,Kombo Gberi,Q953447,NULL->Q845168
+++,"",Kouinche Albert,Q953447,Q165784
---,Q111341046,Kum John,Q953447,
+++,"",Kum John Nji,Q953447,""
->,Q111341047,Kumase Simon,Q953447,NULL->Q165784
->,Q111341048,Kwarmba Solange,Q953447,NULL->Q502341
->,Q111341051,Lawson Tabot Bakia,Q953447,NULL->Q607499
->,Q111341052,Libii Li Ngue Ngue Cabral,Q97177912,NULL->Q607499
---,Q111341053,Lukong Fostine,Q953447,
+++,"",Lukong Fostine Fomuy,Q953447,""
---,Q111341054,Magouo Salome,Q953447,
+++,"",Magouo-Salomé,Q953447,""
+++,"",Manamourou I Silikam,Q953447,Q823976
---,Q111341056,Manamourou Épouse Silikam,Q953447,
->,Q111341058,Mandio William Peter,Q953447,NULL->Q739951
->,Q111341059,Manfouo David,Q953447,NULL->Q165784
+++,"",Margaza Alaou Abal Aggi,Q953447,""
---,Q111341060,Margaza Alaou Abel Maggi,Q953447,
---,Q106975887,Marinette Yetna,Q953447,
---,Q111341062,Mary Muyali Boya Épouse Meboka,Q953447,
+++,"",Mbala Ngobo,Q953447,""
---,Q111341064,Mballa Ngobo Catherine Épouse Mfoula,Q953447,
+++,"",Mbapte Jean Baptiste,Q953447,Q845172
---,Q111341065,Mbapte Jean-Baptiste,Q953447,
+++,"",Mbarga Assembe Luc,Q953447,Q739951
---,Q111341066,Mbarga Assembe Luc Roger,Q953447,
---,Q111341067,Mbe Assae Mendomo Theodore,Q953447,
+++,"",Mbe Assae Mendomo Théodore Alexandre,Q953447,""
->,Q111341068,Mbede Pierre Petrus,Q953447,NULL->Q502341
---,Q111341069,Mbeyo'O Josue,Q953447,
+++,"",Mbeyo’O Josué,Q953447,Q165784
---,Q111341073,Mekongo Helene Épouse Atangana,Q953447,
+++,"",Mekongo Hélène Épse Atangana,Q953447,Q739951
->,Q111341074,Melingui Roger,Q953447,NULL->Q739951
->,Q111341075,Memouna Mahamat,Q953447,NULL->Q823946
+++,"",Menana Née Nanga Marthe Georgette,Q953447,Q739951
->,Q111341076,Mengue Mezui Germain Durand,Q953447,NULL->Q857122
->,Q111341077,Mohamadou Mahdi,Q953447,NULL->Q165784
+++,"",Moluh Nourane Hassana,Q97177912,""
+++,"",Monjowa Lifaka Emilia,Q953447,Q607499
---,Q111341079,Moth Samuel Dieudonne,Q953447,
+++,"",Moth Samuel Dieudonné,Q953447,""
->,Q111341080,Moumini Oumarou,Q953447->Q6979097,
+++,"",Moutymbo Rosette Julienne Épouse Ayayi,Q953447,""
---,Q111341082,Moutymboh Rosette Julienne Epse Ayayi,Q953447,
---,Q111341083,Mpon Francois Xavier,Q953447,
+++,"",Mpon François Xavier,Q953447,""
+++,"",Muyali Boya Mary Epsé Meboko,Q953447,""
+++,"",Mvondo Assam Bonaventure,Q953447,Q857122
---,Q111341084,N'Nolo Épouse Onobiono Marie Suzanne,Q953447,
+++,"",Nafissatou Alim,Q953447,""
---,Q111341085,Nanga Marthe Épouse Menana,Q953447,
---,Q111341086,Nanga Mefant Berthe Epse Owono,Q953447,
+++,"",Nanga Mefant Berthe Épse Owono,Q953447,Q823946
---,Q111341089,Ndongho Clement,Q953447,
->,Q111341090,Ndongo Essomba Jean Bernard,Q953447,NULL->Q739951
+++,"",Ndoumou Née Bekono Pauline,Q953447,Q857122
---,Q111341095,Ngaba Zogo Salome,Q953447,
+++,"",Ngaba Zogo Salomé,Q953447,""
+++,"",Ngah Estalla Tala,Q953447,""
---,Q111341096,Ngah Estella Shala,Q953447,
->,Q111341097,Ngahane,Q953447,NULL->Q845172
->,Q111341100,Ngalle Daniel Etongo,Q953447,NULL->Q739951
->,Q111341102,Ngbanbaye Antoinette,Q953447,NULL->Q165784
+++,"",Ngo Issi Rolande,Q97177912,""
---,Q111341106,Ngo Issi Rolande Adele,Q97177912,
+++,"",Ngo Yetna Marinette Epse Mbeleg,Q953447,""
---,Q111341107,Ngoko Mambe Marie Louise,Q953447,
+++,"",Ngoko Nambe Marie Louise,Q953447,""
+++,"",Nguenkam Epse Tchouaga Marie Louise,Q111340117,""
---,Q111341108,Nguenkam Epse Tchouaga Marie-Louise,Q111340117,
->,Q111341109,Nikina Pierre,Q953447,NULL->Q823976
+++,"",Nintcheu Jean Michel,Q1470113,Q845172
->,Q111341110,Njingum Musa Mbutoh,Q953447,NULL->Q823946
->,Q111341111,Njong Evaristus Ndim,Q1470113,NULL->Q823946
->,Q111341347,Njume Peter Ambang,Q953447,NULL->Q607499
+++,"",Nkodo Dang Roger,Q953447,""
---,Q95511969,Nourane Fotsing Moluh Hassana,Q97177912,
+++,"",N’Nolo Marie Suzanne Épse Onobiono,Q953447,Q739951
+++,"",Osih Joshua,Q1470113,Q845172
+++,"",Oumoul Koulchoumi Épse Mohamadou Ahidjo,Q6979097,Q502341
---,Q111341348,Oumoul Koultchoumi Épouse Ahidjo Mohamadou,Q6979097,
---,Q111341349,Ousmanou Aman Sa' Aly,Q111340112,
->,Q111341352,Prince Mikody Ange Gilbert,Q953447,NULL->Q857122
---,Q21866844,Roger Nkodo Dang,Q953447,
->,Q111341354,Salomon Douvogo,Q953447,NULL->Q823976
---,Q111341356,Saraou Bernadette,Q953447,
+++,"",Sarou Bernadette,Q953447,""
->,Q111341358,Sime Pierre,Q953447,NULL->Q845172
+++,"",Sohaing Colette,Q953447,Q165784
->,Q111341361,Tak Bienvenu,Q953447,NULL->Q845168
---,Q111341363,Tassi Evelyne Chantal Denise Epse Ayissi,Q953447,
+++,"",Tassi Evelyne Chantale Epse Ayissi,Q953447,""
---,Q111341364,Tchagna Jaqueline Reve Angeline,Q953447,
+++,"",Tchagna Jaqueline Rêve Angeline,Q953447,""
---,Q110511220,Théodore Datouo,Q953447,
---,Q111340986,Théophile Baoro,Q953447,
---,Q111341370,Tombi Ikome Gladys,Q953447,
---,Q111341371,Toukam Angele Tela,Q953447,
+++,"",Toukam Angèle Tela,Q953447,""
->,Q111341372,Tsingang Flobert,Q1470113->Q953447,
+++,"",Wa Mathurin,Q953447,""
---,Q111341373,Wa Mathurin Martial,Q953447,
+++,"",Wainachi Honorine,Q1470113,""
---,Q111341374,Wainachi Nentoh Honourine,Q1470113,
---,Q111341375,Wallang Richard,Q953447,
+++,"",Wallang Richard Ebua,Q953447,""
---,Q111341376,Yacouba Yaya,Q953447,
+++,"",Yakouba Yaya,Q953447,""
->,Q111341377,Yaouba Alhadji,Q6979097,NULL->Q857122
->,Q111341379,Yaya Doumba Marius,Q953447,NULL->Q351514
+++,"",Yeba Judith Sama Epse Mouokuio,Q953447,""
---,Q111341380,Yebga Judith Sama Epse Mouokuio,Q953447,
+++,"",Youmo Koupit Adamou,Q3550257,""
---,Q111341381,Youmo Nkoupit Adamou,Q3550257,
+++,"",Zam Jean Jacques Noel,Q953447,Q857122
---,Q111341382,Zam Jean Jacques Noël,Q953447,
->,Q111341383,Zondol Herssesse,Q953447,NULL->Q823976
