item,name,party,partyLabel,constituency,constituencyLabel,startDate,endDate,gender,psid
Q105971259,Bonaventure Mvondo Assam,Q953447,RDPC,,,2020-03-10,,,Q105971259-B6D224CA-ACF4-408E-9CAB-476083BA875C
Q106576581,Emilia Monjowa Lifaka,Q953447,RDPC,,,2020-03-10,2021-04-20,female,Q106576581-6BA4AACC-6D50-4050-88B3-26086332DC7B
Q106975887,Ngo Yetna Marinette Epse Mbeleg,Q953447,RDPC,,,2020-03-10,2021-05-24,female,Q106975887-9C65F2DB-631C-4199-A21F-0AA203D819C2
Q107253305,Colette Kam Sohaing,Q953447,RDPC,,,2020-03-10,,female,Q107253305-906FAB02-1355-4583-B930-6553C9073AF8
Q110511220,Théodore Datouo,Q953447,RDPC,,,2020-03-10,,male,Q110511220-9A4D3797-D319-4BD7-96D4-D2830FFD2EFF
Q111340963,Abba Alim,Q6979097,UNDP,,,2020-03-10,,,Q111340963-C3795CE9-458F-46E0-B113-138EE4BC5CD7
Q111340964,Abe Mkheal Ndra,Q953447,RDPC,,,2020-03-10,,,Q111340964-B414B795-CCA9-4C80-AF61-F0FCBA9EDBA3
Q111340969,Abomo Fama Margueritte Aline,Q953447,RDPC,,,2020-03-10,,,Q111340969-466E0190-58D8-4F32-A514-3136C7FB245B
Q111340970,Adama Epse Djibrine,Q953447,RDPC,,,2020-03-10,,,Q111340970-7129FC50-163C-42F8-9699-423F9CCA719B
Q111340971,Adamu Edward Lambe,Q953447,RDPC,,,2020-03-10,,,Q111340971-06C35536-61DE-458E-82FC-B18A49613921
Q111340972,Agbwah Ntiba Eric,Q953447,RDPC,,,2020-03-10,,,Q111340972-B206573A-CB97-4044-82F3-7E05E8C30E81
Q111340973,Agho Olivier,Q953447,RDPC,,,2020-03-10,,,Q111340973-291B70DB-0750-46E9-B1B6-57D7144A742F
Q111340974,Aka Martin Tyoga,Q953447,RDPC,,,2020-03-10,,,Q111340974-A973230F-386B-4925-9CD3-1D9DD8CDBEFE
Q111340975,Ali Adjit,Q953447,RDPC,,,2020-03-10,,,Q111340975-3865F02B-3216-4EC8-A77B-B4B5E4152ABB
Q111340976,Ali Mamouda,Q953447,RDPC,,,2020-03-10,,,Q111340976-D2D310C4-470A-4D45-BC1A-159478657D23
Q111340977,Ali Salihou,Q953447,RDPC,,,2020-03-10,,,Q111340977-AB0F7957-8830-41AE-916B-74E86A2129C6
Q111340978,Aliyoum Fadil,Q953447,RDPC,,,2020-03-10,,,Q111340978-CBABDD6F-3AA0-42F8-B241-5BADEAEF2DA0
Q111340979,Aminatou Abbo,Q6979097,UNDP,,,2020-03-10,,,Q111340979-EC0E6269-0188-4007-9EFB-839E007DD3B2
Q111340980,Anyere Charles,Q953447,RDPC,,,2020-03-10,,,Q111340980-701717E2-E5DB-4D2E-B3CD-B41B34715F85
Q111340982,Atangana Aligui Celine Catherine épouse Mendouga,Q953447,RDPC,,,2020-03-10,,,Q111340982-2273D208-2C2D-4C66-B06D-0C9E457A8CD5
Q111340983,Ateawung Foju Bernard,Q953447,RDPC,,,2020-03-10,,,Q111340983-D2BC7D1D-B191-438F-B25C-9C4053590C21
Q111340984,Awutah Philip,Q953447,RDPC,,,2020-03-10,,,Q111340984-AF6DA932-E64B-47F9-A0F7-7B323528942C
Q111340985,Banmi Emmanuel Dingha,Q953447,RDPC,,,2020-03-10,,,Q111340985-2D7780F2-88CA-43DE-8F8D-5094BD2D35A6
Q111340986,Baoro Theophile,Q953447,RDPC,,,2020-03-10,,,Q111340986-C8C1B135-13C4-4048-B1BF-039A81BDC7BE
Q111340987,Bara Julien,Q953447,RDPC,,,2020-03-10,,,Q111340987-2D814110-02DA-4597-8B8C-C857716DE75E
Q111340989,Bekono Ebah Epse Ndoumou,Q953447,RDPC,,,2020-03-10,,,Q111340989-E8ADC236-B8BA-4971-A48D-DBBED3A98098
Q111340990,Bello Limane,Q953447,RDPC,,,2020-03-10,,,Q111340990-163FFFD3-F7A8-4024-8B15-9FDE388F99BF
Q111340991,Benae Serge Gabriel,Q953447,RDPC,,,2020-03-10,,,Q111340991-664274E0-88D3-4062-A579-ED829F112B7E
Q111340993,Biba Francois Prostin,Q97177912,PCRN,,,2020-03-10,,,Q111340993-FDBE5EC7-2B16-4FCB-ACB9-7123D5482E80
Q111340994,Biloa Tsilla Nzitha Marie Isabelle,Q953447,RDPC,,,2020-03-10,,,Q111340994-07E19AA9-9C15-411C-951A-341F2A0518FE
Q111340995,Bindoua Mathurin Germain,Q953447,RDPC,,,2020-03-10,,,Q111340995-0F99F71B-ADFA-4884-B972-E66847717459
Q111340996,Bithbini Rosaline,Q953447,RDPC,,,2020-03-10,,,Q111340996-B8A45DBB-F8CB-4C2A-BE6B-CD91F5358563
Q111340997,Bouba Moussa,Q953447,RDPC,,,2020-03-10,,,Q111340997-8FAE0F8A-4170-4E9F-BFCD-DE2E9F8F06CC
Q111340998,Boubakari Djidda,Q111340112,FSNC,,,2020-03-10,,,Q111340998-F83111A9-89A6-4DB0-B9C4-4BC53E2BED53
