item,name,party,partyLabel
,Ali Salihou,Q953447,RDPC
,Ibrahima Bobbo Bello,Q6979097,UNDP
,Mohamadou Mahdi,Q953447,RDPC
,Memouna Mahamat,Q953447,RDPC
,Baoro Theophile,Q953447,RDPC
,Yaya Doumba Marius,Q953447,RDPC
,Halia Moussa Moufta,Q953447,RDPC
,Abba Alim,Q6979097,UNDP
,Yaouba Alhadji,Q6979097,UNDP
,Aminatou Abbo,Q6979097,UNDP
,Etong Hilarion,Q953447,RDPC
,Abomo Fama Margueritte Aline,Q953447,RDPC
,Ndongo Essomba Jean Bernard,Q953447,RDPC
,Ndongo Eteme Edgard,Q953447,RDPC
,Ngaba Zogo Salome,Q953447,RDPC
,Koa Songo,Q953447,RDPC
,Tassi Evelyne Chantal Denise Epse Ayissi,Q953447,RDPC
,N'nolo épouse Onobiono Marie Suzanne,Q953447,RDPC
,Mandio William Peter,Q953447,RDPC
,Mpon Francois Xavier,Q953447,RDPC
Q111341357,Saya Kaigama,Q953447,RDPC
,Melingui Roger,Q953447,RDPC
,Koa Mfeugue Laurentine epouse Mbede,Q953447,RDPC
,Essomba Bengono Engelbert Alain,Q953447,RDPC
,Emah Etoundi Vincent De Paul,Q953447,RDPC
,Djomgoue Paul Eric,Q953447,RDPC
,Essono Francis Lin Mathieu,Q953447,RDPC
,Nanga Marthe épouse Menana,Q953447,RDPC
,Ndzie Frank Eric,Q953447,RDPC
,Yebga Judith Sama Epse Mouokuio,Q953447,RDPC
,Libii Li Ngue Ngue Cabral,Q97177912,PCRN
,Ngo Issi Rolande Adele,Q97177912,PCRN
,Ndjip Bienvenu,Q97177912,PCRN
Q21866844,Roger Nkodo Dang,Q953447,RDPC
,Mballa Ngobo Catherine épouse Mfoula,Q953447,RDPC
,Mbarga Assembe Luc Roger,Q953447,RDPC
,Mekongo Helene épouse Atangana,Q953447,RDPC
,Prince Mikody Ange Gilbert,Q953447,RDPC
,Djabou Marie Solange,Q953447,RDPC
,Nanga Mefant Berthe Epse Owono,Q953447,RDPC
,Mbede Pierre Petrus,Q953447,RDPC
,Agbwah Ntiba Eric,Q953447,RDPC
,Dimbele Boui,Q953447,RDPC
,Man Jacqueline Christiane,Q953447,RDPC
,Tekoura Paul Blaise,Q953447,RDPC
,Kombo Gberi,Q953447,RDPC
,Tak Bienvenu,Q953447,RDPC
,Ngbanbaye Antoinette,Q953447,RDPC
,Salamana Amadou Ali Ii,Q111340112,FSNC
,Damdam Marie,Q953447,RDPC
Q18414272,Hamadou Sali,Q953447,RDPC
,Zondol Herssesse,Q953447,RDPC
,Sambo Galdima,Q953447,RDPC
,Kamssouloum Abba Kabir,Q953447,RDPC
,Margaza Alaou Abel Maggi,Q953447,RDPC
,Mariam Goni,Q953447,RDPC
,Ali Adjit,Q953447,RDPC
,Manamourou épouse Silikam,Q953447,RDPC
,Nikina Pierre,Q953447,RDPC
,Moussous Lississou,Q953447,RDPC
,Bara Julien,Q953447,RDPC
,Tabouli Celestin,Q953447,RDPC
,Haman Tchiouto,Q953447,RDPC
,Magouo Salome,Q953447,RDPC
,Saraou Bernadette,Q953447,RDPC
,Guiswe Badoma,Q15195678,MDR
,Dague Aïcha Blanche Jacqueline,Q15195678,MDR
Q4160254,Cavaye Yeguié Djibril,Q953447,RDPC
,Adama Epse Djibrine,Q953447,RDPC
