@@,item,name,party,partylabel
---,Q111364549,,Q953447,RDPC
---,Q111364547,,Q3550257,UDC
---,Q111364546,,Q953447,RDPC
---,Q111364545,,Q111340112,FSNC
---,Q111364544,,Q111340112,FSNC
->,Q111340963,Abba Alim,Q6979097,NUDP->UNDP
->,Q111340964,Abe Mkheal Ndra,Q953447,CPDM->RDPC
->,Q111340969,Abomo Fama Margueritte Aline,Q953447,CPDM->RDPC
->,Q111340970,Adama Epse Djibrine,Q953447,CPDM->RDPC
->,Q111340971,Adamu Edward Lambe,Q953447,CPDM->RDPC
->,Q111340972,Agbwah Ntiba Eric,Q953447,CPDM->RDPC
->,Q111340973,Agho Olivier,Q953447,CPDM->RDPC
->,Q111340974,Aka Martin Tyoga,Q953447,CPDM->RDPC
->,Q111340975,Ali Adjit,Q953447,CPDM->RDPC
->,Q111340976,Ali Mamouda,Q953447,CPDM->RDPC
->,Q111340977,Ali Salihou,Q953447,CPDM->RDPC
->,Q111340978,Aliyoum Fadil,Q953447,CPDM->RDPC
->,Q111340979,Aminatou Abbo,Q6979097,NUDP->UNDP
->,Q111340980,Anyere Charles,Q953447,CPDM->RDPC
->,Q111340982,Atangana Aligui Celine Catherine épouse Mendouga,Q953447,CPDM->RDPC
->,Q111340983,Ateawung Foju Bernard,Q953447,CPDM->RDPC
->,Q111340984,Awutah Philip,Q953447,CPDM->RDPC
->,Q111340985,Banmi Emmanuel Dingha,Q953447,CPDM->RDPC
->,Q111340986,Baoro Theophile,Q953447,CPDM->RDPC
->,Q111340987,Bara Julien,Q953447,CPDM->RDPC
->,Q111340989,Bekono Ebah Epse Ndoumou,Q953447,CPDM->RDPC
->,Q111340990,Bello Limane,Q953447,CPDM->RDPC
->,Q111340991,Benae Serge Gabriel,Q953447,CPDM->RDPC
->,Q111340994,Biloa Tsilla Nzitha Marie Isabelle,Q953447,CPDM->RDPC
->,Q111340995,Bindoua Mathurin Germain,Q953447,CPDM->RDPC
->,Q111340996,Bithbini Rosaline,Q953447,CPDM->RDPC
->,Q111340997,Bouba Moussa,Q953447,CPDM->RDPC
->,Q111340999,Cecilia Dione Epse Njumbe,Q953447,CPDM->RDPC
->,Q111341001,Damdam Marie,Q953447,CPDM->RDPC
->,Q111341002,Dimbele Boui,Q953447,CPDM->RDPC
->,Q111341003,Dissake Marguerite Epse Ekoka,Q953447,CPDM->RDPC
->,Q111341004,Djabou Marie Solange,Q953447,CPDM->RDPC
->,Q111341006,Djibrilla Kaou,Q953447,CPDM->RDPC
->,Q111341010,Djomgoue Paul Eric,Q953447,CPDM->RDPC
->,Q111341011,Donald Malomba Esembe,Q953447,CPDM->RDPC
->,Q111341012,Dooh Collins Albert Kouoh,Q953447,CPDM->RDPC
->,Q111341013,Douvaouissa Aissa Hamadi,Q6979097,NUDP->UNDP
->,Q111341014,Ebangha Epouse Agbor ntui Johanna,Q953447,CPDM->RDPC
->,Q111341015,Ekolle Peters,Q953447,CPDM->RDPC
->,Q111341016,Elise Ndongo Moutome épouse Pokossy Ndoumbe,Q953447,CPDM->RDPC
->,Q111341017,Emabot Brigitte,Q953447,CPDM->RDPC
->,Q111341018,Emah Etoundi Vincent De Paul,Q953447,CPDM->RDPC
->,Q111341020,Essomba Bengono Engelbert Alain,Q953447,CPDM->RDPC
->,Q111341021,Essono Francis Lin Mathieu,Q953447,CPDM->RDPC
->,Q111341022,Etong Hilarion,Q953447,CPDM->RDPC
->,Q111341023,Evina Ovambe Bernadette Epse Aboui,Q953447,CPDM->RDPC
->,Q111341024,Eyoum Minono épouse Epoube Lydienne,Q953447,CPDM->RDPC
->,Q111341025,Fadimatou Sambo,Q953447,CPDM->RDPC
->,Q111341026,Fandja Gabriel,Q953447,CPDM->RDPC
->,Q111341027,Feutheu Jean Claude,Q953447,CPDM->RDPC
->,Q111341028,Findi Stanley Mokondo,Q953447,CPDM->RDPC
->,Q111341029,Fongue Fongouk Julius,Q953447,CPDM->RDPC
->,Q111341031,Ghimbop Josephine,Q953447,CPDM->RDPC
->,Q111341032,Gonondo Jean,Q953447,CPDM->RDPC
->,Q111341034,Halia Moussa Moufta,Q953447,CPDM->RDPC
->,Q111341035,Haman Tchiouto,Q953447,CPDM->RDPC
->,Q111341036,Harouna Abdoulaye,Q953447,CPDM->RDPC
->,Q111341037,Harouna Nyako,Q953447,CPDM->RDPC
->,Q111341038,Ibrahima Bobbo Bello,Q6979097,NUDP->UNDP
->,Q111341039,Injoh Fo’o Ngang Prudencia,Q953447,CPDM->RDPC
->,Q38459914,Joshua Osih->Joshua Nambangi Osih,Q1470113,SDF
->,Q111341040,Juimo Monthe Siewe Claude,Q953447,CPDM->RDPC
->,Q111341041,Kamssouloum Abba Kabir,Q953447,CPDM->RDPC
->,Q111341042,Kenfack Sonna Ngueguim Anastasie,Q953447,CPDM->RDPC
->,Q111341043,Koa Mfeugue Laurentine epouse Mbede,Q953447,CPDM->RDPC
->,Q111341044,Koa Songo,Q953447,CPDM->RDPC
->,Q111341045,Kombo Gberi,Q953447,CPDM->RDPC
->,Q111341046,Kum John,Q953447,CPDM->RDPC
->,Q111341047,Kumase Simon,Q953447,CPDM->RDPC
->,Q111341048,Kwarmba Solange,Q953447,CPDM->RDPC
->,Q111341049,Kwei Andrew Mngo,Q953447,CPDM->RDPC
->,Q111341051,Lawson Tabot Bakia,Q953447,CPDM->RDPC
->,Q111341053,Lukong Fostine,Q953447,CPDM->RDPC
->,Q111341054,Magouo Salome,Q953447,CPDM->RDPC
->,Q111341055,Man Jacqueline Christiane,Q953447,CPDM->RDPC
->,Q111341056,Manamourou épouse Silikam,Q953447,CPDM->RDPC
->,Q111341058,Mandio William Peter,Q953447,CPDM->RDPC
->,Q111341059,Manfouo David,Q953447,CPDM->RDPC
->,Q111341060,Margaza Alaou Abel Maggi,Q953447,CPDM->RDPC
->,Q111341061,Mariam Goni,Q953447,CPDM->RDPC
->,Q111341062,Mary Muyali Boya épouse Meboka,Q953447,CPDM->RDPC
->,Q111341063,Mbakam Chouga Guillaume,Q953447,CPDM->RDPC
->,Q111341064,Mballa Ngobo Catherine épouse Mfoula,Q953447,CPDM->RDPC
->,Q111341065,Mbapte Jean-Baptiste,Q953447,CPDM->RDPC
->,Q111341066,Mbarga Assembe Luc Roger,Q953447,CPDM->RDPC
->,Q111341067,Mbe Assae Mendomo Theodore,Q953447,CPDM->RDPC
->,Q111341068,Mbede Pierre Petrus,Q953447,CPDM->RDPC
->,Q111341069,Mbeyo'o Josue,Q953447,CPDM->RDPC
->,Q111341070,Mbongyor Naomi Ngando,Q953447,CPDM->RDPC
->,Q111341072,Mbuwir Tobias,Q953447,CPDM->RDPC
->,Q111341073,Mekongo Helene épouse Atangana,Q953447,CPDM->RDPC
->,Q111341074,Melingui Roger,Q953447,CPDM->RDPC
->,Q111341075,Memouna Mahamat,Q953447,CPDM->RDPC
->,Q111341076,Mengue Mezui Germain Durand,Q953447,CPDM->RDPC
->,Q111341077,Mohamadou Mahdi,Q953447,CPDM->RDPC
->,Q111341079,Moth Samuel Dieudonne,Q953447,CPDM->RDPC
->,Q111341080,Moumini Oumarou,Q953447,CPDM->RDPC
->,Q111341081,Moussous Lississou,Q953447,CPDM->RDPC
->,Q111341082,Moutymboh Rosette Julienne Epse Ayayi,Q953447,CPDM->RDPC
->,Q111341083,Mpon Francois Xavier,Q953447,CPDM->RDPC
->,Q111341084,N'nolo épouse Onobiono Marie Suzanne,Q953447,CPDM->RDPC
->,Q111341085,Nanga Marthe épouse Menana,Q953447,CPDM->RDPC
->,Q111341086,Nanga Mefant Berthe Epse Owono,Q953447,CPDM->RDPC
->,Q111341089,Ndongho Clement,Q953447,CPDM->RDPC
->,Q111341090,Ndongo Essomba Jean Bernard,Q953447,CPDM->RDPC
->,Q111341091,Ndongo Eteme Edgard,Q953447,CPDM->RDPC
->,Q111341092,Ndzie Frank Eric,Q953447,CPDM->RDPC
->,Q111341093,Nestus Fru Manju,Q953447,CPDM->RDPC
->,Q111341095,Ngaba Zogo Salome,Q953447,CPDM->RDPC
->,Q111341096,Ngah Estella Shala,Q953447,CPDM->RDPC
->,Q111341097,Ngahane,Q953447,CPDM->RDPC
->,Q111341098,Ngala Gerard Ndombang,Q953447,CPDM->RDPC
->,Q111341100,Ngalle Daniel Etongo,Q953447,CPDM->RDPC
->,Q111341101,Ngantcha Louis Henri,Q953447,CPDM->RDPC
->,Q111341102,Ngbanbaye Antoinette,Q953447,CPDM->RDPC
->,Q111341103,Ngnegue Simon,Q953447,CPDM->RDPC
->,Q106975887,Ngo Yetna Marinette Epse Mbeleg,Q953447,CPDM->RDPC
->,Q111341107,Ngoko Mambe Marie Louise,Q953447,CPDM->RDPC
->,Q111341109,Nikina Pierre,Q953447,CPDM->RDPC
->,Q111341110,Njingum Musa Mbutoh,Q953447,CPDM->RDPC
->,Q111341348,Oumoul Koultchoumi épouse Ahidjo Mohamadou,Q6979097,NUDP->UNDP
->,Q111341351,Pongoh Emmanuel,Q953447,CPDM->RDPC
