@@,item,itemlabel,startdate,enddate
+++,,Jacques Roger Booh Booh,1988,1992
+++,Q1000379,Ferdinand Oyono,1992-11-27,1997-12-07
->,Q98815574,Xavier Ngoubeyou->François-Xavier Ngoubeyou,2001-04-27,2004-12-07
