@@,item,name,party,area
+++,"",Abanda Metogo Valere,Q953447,Q739951
+++,"",Abunaw Rose Agbor,Q953447,Q607499
+++,"",Ahmadou Bakoura,Q953447,Q502341
+++,"",Aka Amuam Joseph,Q953447,Q502341
+++,"",Alake Atengouassi Joseph,Q953447,Q739951
+++,"",Alioum Alhadji Hamadou,Q953447,Q823976
+++,"",Amougou Ekoman Marcel D.,Q953447,Q857122
+++,"",Amougou Nkolo Jean Pierre,Q953447,Q857122
+++,"",Amougou Noma Nicolas,Q953447,Q739951
+++,"",Amrakaye Martin,Q953447,Q823976
+++,"",Andze Andze Emile,Q953447,Q739951
+++,"",Anyangwe A. Christopher,Q1470113,Q823946
+++,"",Assene Nkou,Q953447,Q739951
+++,"",Ava Ava Joseph Emmanuel Christian,Q953447,Q739951
+++,"",Ayuk Arrey Peter,Q953447,Q607499
+++,"",Bangsi Emmanuel,Q1470113,Q823946
+++,"",Batoum Themotio,Q953447,Q845172
+++,"",Belong Maurice,Q953447,Q845172
+++,"",Bile Bidjang Martin,Q953447,Q857122
+++,"",Blama Malla,Q953447,Q823976
+++,"",Booto A Ngon André,Q953447,Q739951
+++,"",Bouba Djoulde,Q953447,Q823976
+++,"",Bouba Samali Bernard,Q953447,Q502341
+++,"",Bungong Jinka Jonathan,Q1470113,Q823946
+++,"",Che Phlilip,Q1470113,Q823946
+++,"",Chedjou Gabriel,Q953447,Q165784
+++,"",Chemo Sama Eyikeshi,Q1470113,Q823946
+++,"",Chief Esong Joseph Ntongwe,Q953447,Q607499
+++,"",Danwe Raidandi,Q953447,Q823976
+++,"",Daoua Youssoufa,Q953447,Q502341
+++,"",Dassidi Sadani,Q953447,Q823976
+++,"",Dentale Douna Joel,Q953447,Q351514
+++,"",Din Bell Armande,Q953447,Q845172
+++,"",Eessame Joseph Ernest Pierre,Q953447,Q845172
+++,"",Efite Andrew Engange,Q953447,Q607499
+++,"",Ekande Frederic,Q953447,Q845172
+++,"",Ekoum Emilienne,Q953447,Q845172
+++,"",Elingui Léonie Née Kounanga,Q953447,Q739951
+++,"",Etonde Ekoto Edouart Nathanael,Q953447,Q845172
+++,"",Etong Nzok Hilarion,Q953447,Q739951
+++,"",Eyeffa Salomé,Q953447,Q739951
+++,"",Fai Mbuh Yang Daniel,Q1470113,Q823946
+++,"",Fetekoue Made,Q953447,Q823976
+++,"",Fon Doh Gah Gwanyin Iii,Q953447,Q823946
+++,"",Fotabe Née Basua Hannahb,Q953447,Q607499
+++,"",Foti Pierre,Q953447,Q165784
+++,"",Fouda Fouda Frédéric,Q953447,Q845168
+++,"",Foyet Michel,Q953447,""
+++,"",Gamanan Laobol,Q953447,""
+++,"",Hamadou Seidou,Q953447,Q823976
+++,"",Hamidou,Q953447,Q351514
+++,"",Jua Paulinus Toh,Q1470113,Q823946
+++,"",Kalvouksou Rigobert,Q953447,Q823976
+++,"",Kambala Ndangaya Jean-Pierre,Q953447,Q845168
+++,"",Keldai Kavaye,Q953447,""
+++,"",Kodock Bahiha Augustin F.,Q1860584,Q739951
+++,"",Limi Adamou,Q3550257,Q165784
+++,"",Lomie Mabia Gérard,Q953447,Q845168
+++,"",Man Jacqueline Ép. Simbe,Q953447,Q845168
+++,"",Mbassi Awono,Q953447,Q739951
+++,"",Mbile Norbert Nangiya,Q953447,Q607499
+++,"",Mbock Gabriel Charly,Q1860584,Q845172
+++,"",Mbotchak Philippe,Q953447,Q165784
+++,"",Mebande Brigitte. Ép. Abdoulbagui,Q953447,Q845168
+++,"",Meboka Catherine Eposi,Q953447,Q607499
+++,"",Missi Jean Raymond,Q953447,Q845172
+++,"",Moutassi Benoît Roger,Q953447,Q845172
+++,"",Ndembiyembe Paul Celestin,Q953447,Q739951
+++,"",Ndinda Ndinda Ferdinand,Q953447,Q857122
+++,"",Ndo Nee Engolo Evina,Q953447,Q857122
+++,"",Neba Aaron Shu,Q1470113,Q823946
+++,"",Ngahane Isaac,Q953447,Q845172
+++,"",Ngaima,Q953447,""
+++,"",Ngetcham,Q953447,""
+++,"",Ngoula Anne,Q953447,Q845172
+++,"",Ngwasiri Clément Nforti,Q1470113,Q823946
+++,"",Njie Meote Paul,Q953447,Q607499
+++,"",Nnanga Née Essomba,Q953447,""
+++,"",Nnemde Emmanuel,Q953447,Q739951
+++,"",Nsangou Mamadou,Q3550257,Q165784
+++,"",Nsanyuy Audu,Q1470113,Q823946
+++,"",Ntone Henri,Q953447,Q845172
+++,"",Nyassa Louis Claude,Q953447,Q739951
+++,"",Nzefa Tsachoua Pierre,Q953447,Q165784
+++,"",Oloume Ernest,Q953447,Q739951
+++,"",Onana Vincent,Q953447,Q739951
+++,"",Ondoua Menye Paul-Aimé,Q953447,Q739951
+++,"",Ousmanou,Q953447,Q351514
+++,"",Ousmanou Toumba,Q953447,Q823976
+++,"",Owona Essomba René,Q953447,Q857122
+++,"",Patehale Jean Claude,Q953447,Q502341
+++,"",Sakatai Claude,Q953447,Q823976
+++,"",Sale Charles,Q953447,Q845168
+++,"",Samba Letina Alphonse,Q953447,Q845168
+++,"",Singai Kangou Célestin,Q953447,Q502341
+++,"",Tansah Jones Ndzi,Q1470113,Q823946
