name,item,party,partyLabel,area,areaLabel,position
ELOUNDOU Barnabé,,Q953447,RDPC,Q739951,CENTRE,
EMABOT Brigitte,,Q953447,RDPC,Q165784,OUEST,
ENOW TANDJONG,,Q953447,RDPC,Q607499,SUD OUEST,
ENWE Francis ABI,,Q953447,RDPC,Q823946,NORD OUEST,
EPONDO FOUDA Céline Marie,,Q953447,RDPC,Q739951,CENTRE,
ESSAME Joseph Ernest Pierre,,Q953447,RDPC,Q845172,LITTORAL,
ETOMBI BOLEVIE Gladys,,Q953447,RDPC,Q607499,SUD OUEST,
EYOUM MINONO épse EPOUBE Lydienne,,Q953447,RDPC,Q845172,LITTORAL,
FADIMATOU SAMBO,,Q953447,RDPC,Q502341,NORD,
FEUTHEU Jean Claude,,Q953447,RDPC,Q165784,OUEST,
FOSSI Jacob,,Q953447,RDPC,Q165784,OUEST,
FOTSO Laure Pauline,,Q953447,RDPC,Q165784,OUEST,
FOTSO née CHEBOU KAMDEM Faustine Villaneau,,Q953447,RDPC,Q165784,OUEST,
Fritz NGEKA ETOKE,,Q953447,RDPC,Q607499,SUD OUEST,
FUSI NAAMUKONG Wilfried AZIYA,,Q1470113,SDF,Q823946,NORD OUEST,
