name,item,party,partyLabel,area,areaLabel,position
SALI DAIROU,,Q953447,RDPC,Q823976,EXTREME NORD,
ADAMA épse DJIBRINE,,Q953447,RDPC,Q823976,EXTREME NORD,
SASSOUAN HIRIHIRI,,Q953447,RDPC,Q823976,EXTREME NORD,
DOOH Collins Albert KOUOH,,Q953447,RDPC,Q845172,LITTORAL,
SIME Pierre,,Q953447,RDPC,Q845172,LITTORAL,
HAROUNA NYAKO,,Q953447,RDPC,Q502341,NORD,
AMADOU MOHAMAN,,Q6979097,UNDP,Q502341,NORD,
ATANGANA ALIGUI Céline épse MENDOUA,,Q953447,RDPC,Q857122,SUD,
SALOMON DOUVOGO,,Q953447,RDPC,Q823976,EXTREME NORD,
TAK Bienvenu,,Q953447,RDPC,Q845168,EST,
TEMWA,,Q953447,RDPC,Q823976,EXTREME NORD,
ATEWUNG FOJU Bernard,,Q953447,RDPC,Q857122,SUD,
TODOU,,Q953447,RDPC,Q502341,NORD,
MGBATOU Pierre,,Q953447,RDPC,Q739951,CENTRE,
VEDJOU Esther,,Q953447,RDPC,Q351514,ADAMAOUA,
