name,item,party,partyLabel,area,areaLabel,position
MBARGA ASSEMBE Luc Roger,,Q953447,RDPC,Q739951,CENTRE,
MBE ASSAE MENDOMO Théodore,,Q953447,RDPC,Q857122,SUD,
MADJELE,,Q953447,RDPC,Q823976,EXTREME NORD,
MBOUI Joseph,,Q953447,RDPC,Q845172,LITTORAL,
MEKONGO Hélène épse ATANGANA,,Q953447,RDPC,Q739951,CENTRE,
MELINGUI Roger,,Q953447,RDPC,Q739951,CENTRE,
MONESSEL Prosper Mérime,,Q953447,RDPC,Q857122,SUD,
MOUTYMBO épse AYAYI Rosette Julienne,,Q953447,RDPC,Q845172,LITTORAL,
MPACKO KOTTO Jean Claude,,Q953447,RDPC,Q845172,LITTORAL,
MVONDO ASSAM Bonaventure,,Q953447,RDPC,Q857122,SUD,
NANGA épse MENANA,,Q953447,RDPC,Q739951,CENTRE,
NDENGUE NYA Bernadette,,Q953447,RDPC,Q165784,OUEST,
NGAHANE,,Q953447,RDPC,Q845172,LITTORAL,
NGALLE Daniel ETONGO,,Q953447,RDPC,Q739951,CENTRE,
NGBANBAYE Antointte,,Q953447,RDPC,Q845168,EST,
