name,item,party,partyLabel,area,areaLabel,position
TOMAINO NDAM NJOYA Hermine,,Q3550257,UDC,Q165784,OUEST,
VICHE TAGA,,Q953447,RDPC,Q823976,EXTREME NORD,
WA Mathurin Martial,,Q953447,RDPC,Q165784,OUEST,
MEBANDE Brigitte,,Q953447,RDPC,Q845168,EST,
KEGNE MAFONG Joséphine épse FOTSO,,Q953447,RDPC,Q165784,OUEST,
NKODO NDANG Roger,,Q953447,RDPC,Q739951,CENTRE,
WALLANG Richard EBUA,,Q953447,RDPC,Q823946,NORD OUEST,
DJOMGOUE Paul Eric,,Q953447,RDPC,Q739951,CENTRE,
WANTOU SIANTOU Lucien,,Q953447,RDPC,Q165784,OUEST,
MANAMOUROU épse SILIKAM,,Q953447,RDPC,Q823976,EXTREME NORD,
YAOUBA ABDEL AZIZ,,Q953447,RDPC,Q502341,NORD,
NJINGUM MUSA MBUTOH,,Q953447,RDPC,Q823946,NORD OUEST,
YAYA DOUMBA Marius,,Q953447,RDPC,Q351514,ADAMAOUA,
YOUWO Bernard,,Q953447,RDPC,Q165784,OUEST,
BEKONO EBAH Pauline épse NDOUMOU,,Q953447,RDPC,Q857122,SUD,
