name,item,party,partyLabel,area,areaLabel,position
BANMI Emmanuel DINGHA,,,BANMI,,Emmanuel DINGHA,
BARA Julien,,,BARA,,Julien,
BELLO LIMANE,,,BELLO,,LIMANE,
BILOA TSILLA ZITHA Marie Isabelle,,,BILOA,,TSILLA ZITHA Marie Isabelle,
BOUBA Jean TAIDA,,,BOUBA,,Jean TAIDA,
BOULOU GUIZI Joseph,,,BOULOU,,GUIZI Joseph,
DANATA paul,,,DANATA,,paul,
DIMBELE BOUI,,,DIMBELE,,BOUI,
DISSAKE née EKOKA Marguerite Hélène,,,DISSAKE,,née EKOKA Marguerite Hélène,
DJIBRILA KAOU,,,DJIBRILA,,KAOU,
DOPE Honorine épse ASSOGNOLEBOT,,,DOPE,,Honorine épse ASSOGNOLEBOT,
DOUGOUF DJONKIO ALI,,Q953447,RDPC,Q823976,EXTREME NORD,
DZITE épse NGASSAM Thérèse,,Q953447,RDPC,Q165784,OUEST,
EKANGA ABATA Joachim,,Q953447,RDPC,Q845168,EST,
Elise NDONGO MOUTOME épse POKOSSY NDOUMBE,,Q953447,RDPC,Q845172,LITTORAL,
