name,item,party,partyLabel,area,areaLabel,position
WAINACHI NENGTOH Honourine,,Q1470113,SDF,Q823946,NORD OUEST,
ALI ADJIT,,Q953447,RDPC,Q823976,EXTREME NORD,
ALEH EYABI Clarah,,Q953447,RDPC,Q607499,SUD OUEST,
WIRBA Joseph MBIYDZENYUY,,Q1470113,SDF,Q823946,NORD OUEST,
Soub Lazare,,Q20982150,MRC,Q845172,LITTORAL,
BAPOOH LIPOT Robert,,Q1860584,UPC,Q739951,CENTRE,
LAOUSSOU Pierre,,Q15195678,MDR,Q823976,EXTREME NORD,
NGO NYANGA épse DJON II,,Q1860584,UPC,Q739951,CENTRE,
SENDE Pierre,,Q1860584,UPC,Q739951,CENTRE,
AMADOU ADJI,,Q6979097,UNDP,Q823976,EXTREME NORD,
DAHIROU AHMADOU,,Q6979097,UNDP,Q351514,ADAMAOUA,
OUMOUL KOULTCHOUMI épse AHIDJO MOHAMADOU,,Q6979097,UNDP,Q502341,NORD,
MBOUOMBOUO MAMA,,Q3550257,UDC,Q165784,OUEST,
MFOUAPON ALASSA,,Q3550257,UDC,Q165784,OUEST,
SAMBA Mariamma,,Q3550257,UDC,Q165784,OUEST,
