@@,item,itemlabel,startdate,enddate
+++,,Edgar Claverie,,1956
+++,Q2847765,André Fouda Omgba Nsi,1956-11-26,1980-02-27
->,Q111364929,Amougou Noma Nicolas->Nicolas Amougou Noma,2001,2004
