item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender
,ABBA MALLA,Q3366357,CPDM,,FAR-NORTH,,,
,ADAMA épse DJIBRINE,Q3366357,CPDM,,ADAMAWA,,,female
,ALI adjit,Q3366357,CPDM,,FAR-NORTH,,,male
,AMINATOU,Q3366357,CPDM,,ADAMAWA,,,female
,Adji Amadou,Q6979097,NUDP,,FAR-NORTH,,,
,Ahmadou DAHIROU,Q3366357,CPDM,,ADAMAWA,,,
,Ali BACHIR,Q3366357,CPDM,,FAR-NORTH,,,male
,Aliyoum Fadil,Q3366357,CPDM,,NORTH,,,male
,Barnabé ELOUNDOU,Q3366357,CPDM,,CENTRE,,,male
,Bernadette NDEUNGUE NYA,Q3366357,CPDM,,WEST,,,female
,Bonaventure MVONDO ASSAM,Q3366357,CPDM,,SOUTH,,,male
,Brigitte EMABOT,Q3366357,CPDM,,WEST,,,female
,Caroline MBIYEBE,Q1470113,SDF,,NORTH-WEST,,,female
,Catherine épse MFOULA MBALLA NGORO,Q3366357,CPDM,,CENTRE,,,female
,Clarah ALEY EYABI,Q3366357,CPDM,,SOUTH-WEST,,,female
,DIMBELE BOUI,Q3366357,CPDM,,EAST,,,male
,DJIBRILLA KAOUA,Q3366357,CPDM,,ADAMAWA,,,male
,DOPE Honorine épse ASSOGNLEBOT,Q3366357,CPDM,,CENTRE,,,female
,DOUGOUF DJONKIO Ali,Q3366357,CPDM,,FAR-NORTH,,,male
,DOUVAOUISSA AISSA HAMADI,Q6979097,NUDP,,FAR-NORTH,,,
,DZITE épse NGASSAM Thérèse,Q3366357,CPDM,,WEST,,,female
,Daniel ETONGO NGALLE,Q3366357,CPDM,,EAST,,,male
,EDENA ENIH MBAH,Q1470113,SDF,,NORTH-WEST,,,
,ENOW ETOUNDI,Q3366357,CPDM,,NORTH-WEST,,,male
,Elise NDONGO MOUTOME épse POKOSSY NDOUMBE,Q3366357,CPDM,,LITTORAL,,,female
,Emmanual BANMI DINGHA,Q3366357,CPDM,,NORTH-WEST,,,male
,Emmanuel Mbiam,Q3366357,CPDM,,SOUTH,,,male
,Goni MARIAM,Q3366357,CPDM,,NORTH,,,female
,Helène MEKONGO épse ATANGANA,Q3366357,CPDM,,CENTRE,,,female
,Hills Larry NDONG,Q1470113,SDF,,NORTH-WEST,,,
,Jean BOUBA,Q3366357,CPDM,,FAR-NORTH,,,male
Q15713969,Jean michel NINTCHEU,Q1470113,SDF,,LITTORAL,,,male
,Jean-Claude MPACKO KOTTO,Q3366357,CPDM,,LITTORAL,,,
,Joachim EKANGA ABATA,Q3366357,CPDM,,CENTRE,,,male
