item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender
,Joseph BOULOU GUIZI,Q3366357,CPDM,,FAR-NORTH,,,male
,Joseph Lukong BANADZEM,Q1470113,SDF,,NORTH-WEST,,,male
Q28967171,Joseph MBOUI,Q3366357,CPDM,,LITTORAL,,,male
,LIPOT BAPOOH,Q1860584,UPC,,CENTRE,,,
,Luc Roger MBARGA ASSEMBE,Q3366357,CPDM,,CENTRE,,,male
,Léornad MAOUNDE,Q3366357,CPDM,,ADAMAWA,,,
,MATSANG SEYI MAMA,Q3366357,CPDM,,CENTRE,,,male
,MBANYA BOLEVIE PETGNA,Q1470113,SDF,,SOUTH-WEST,,,male
,MBOUOMBOUO MAMA,,CDU,,WEST,,,
,MFOUAPON ALASSA,,CDU,,WEST,,,
,MOUTYMBO épse AYAYI Rosette Julienne,Q3366357,CPDM,,LITTORAL,,,female
,Marguerite Alime ABOMO FAMA,Q3366357,CPDM,,CENTRE,,,female
,Marguerite hélène DISSAKE née AKOKA,Q3366357,CPDM,,LITTORAL,,,female
,Marie Suzanne ONOBIONO N'NOLO,Q3366357,CPDM,,CENTRE,,,female
,Marlyse Rose DOUALA BELL née DIMODI TONGO,Q3366357,CPDM,,LITTORAL,,,female
,Mary MUYALI BOYA épse MEBOKA,Q3366357,CPDM,,SOUTH-WEST,,,female
,NANGA Marthe Georgette Clarise épse MENANA,Q3366357,CPDM,,CENTRE,,,female
,NGAHANE,Q3366357,CPDM,,LITTORAL,,,male
,NGALA Esther Ntala,Q3366357,CPDM,,FAR-NORTH,,,
,NGBANBAYE Antoinette,Q3366357,CPDM,,EAST,,,
,NGO NYABA épse DJON II,Q1860584,UPC,,CENTRE,,,
,NGUINI EFFA née ADA OWANA marie Rose,Q3366357,CPDM,,CENTRE,,,female
,NGUJEDE NGOLE Robert,Q3366357,CPDM,,FAR-NORTH,,,male
,NIKITA Pierre,Q3366357,CPDM,,NORTH,,,male
,NJI NTUMASANG Paul,Q1470113,SDF,,NORTH-WEST,,,male
,NJONG Evariste NDIM,Q1470113,SDF,,FAR-NORTH,,,
,NJUME Peter AMBANG,Q3366357,CPDM,,EAST,,,male
,NLANG Martine épse NGBWA,Q3366357,CPDM,,SOUTH,,,female
,NNAMA Marie Thérèse épse ESSAMA,Q3366357,CPDM,,SOUTH,,,female
,NSA MOUSSA,Q3366357,CPDM,,WEST,,,male
,NSOSIE EBAH Susana épse Okpu,Q3366357,CPDM,,SOUTH-WEST,,,female
,NTSAMA BELINGA Jeanne épse OTTOU,Q3366357,CPDM,,CENTRE,,,female
,NYASSA épse BEKOLO EBE Julienne,Q3366357,CPDM,,CENTRE,,,female
,NZOUGNOU DIT FOTSA NGONG,Q3366357,CPDM,,WEST,,,male
,Ndra Micheal ABE,Q3366357,CPDM,,FAR-NORTH,,,
,ONGOLA OMGBA jean Simon,Q3366357,CPDM,,CENTRE,,,male
,OUMOUL KOULTCHOUMI épse AHIDJO MOHAMADOU,Q3366357,CPDM,,NORTH,,,
,OWONA KONO Joseph Hyacinte,Q3366357,CPDM,,LITTORAL,,,
,OYONO Martin,Q3366357,CPDM,,SOUTH,,,male
,Oscar EDIMO NDOUMBE,Q3366357,CPDM,,LITTORAL,,,male
,PANGMASHI Roland Fue,Q3366357,CPDM,,CENTRE,,,male
,Paul DANATA,Q3366357,CPDM,,EAST,,,male
Q30582124,Placide NGUEFACK,Q3366357,CPDM,,WEST,,,male
,Polycarpe BANLOG,Q3366357,CPDM,,CENTRE,,,male
,Prosper MONESSEL,Q3366357,CPDM,,CENTRE,,,
,Roger MELINGUI,Q3366357,CPDM,,CENTRE,,,male
,SAMBA Mariama,Q3366357,CPDM,,CENTRE,,,male
,SENDE Pierre,Q3366357,CPDM,,CENTRE,,,
,SIME Pierre,Q3366357,CPDM,,LITTORAL,,,
,SOUB Pierre,Q3366357,CPDM,,LITTORAL,,,
,Sali Boubadjan,Q3366357,CPDM,,FAR-NORTH,,,male
,Sali Dairou,Q3366357,CPDM,,FAR-NORTH,,,male
,Salomon,Q3366357,CPDM,,FAR-NORTH,,,
,Sangong DEFFO OUMBE,Q1470113,SDF,,SOUTH-WEST,,,
,TAK Bienvenu,Q3366357,CPDM,,CENTRE,,,male
,TEMWA,Q3366357,CPDM,,FAR-NORTH,,,
,TODOU,Q3366357,CPDM,,ADAMAWA,,,male
,Théodore MENDOMO MBE ASSAE,Q3366357,CPDM,,SOUTH,,,male
,VEDJOU Esther,Q3366357,CPDM,,ADAMAWA,,,female
,VICHE TAGA,Q3366357,CPDM,,ADAMAWA,,,male
,Vincent de Paul EMAH ETOUNDI,Q3366357,CPDM,,CENTRE,,,
,WA Mathurin Martial,Q3366357,CPDM,,WEST,,,male
,WAINACHI HENGTOH,Q3366357,CPDM,,NORTH-WEST,,,
,WALLANG Richard EBUA,Q3366357,CPDM,,NORTH-WEST,,,
Q30546273,WANTOU SIANTOU Lucien,Q3366357,CPDM,,WEST,,,male
,WIRBA Joseph MBIYDZENYUY,Q1470113,SDF,,NORTH-WEST,,,male
,YAOUBA ABDEL AZIZ,Q3366357,CPDM,,ADAMAWA,,,male
,YAYA DOUMBIA MArius,Q3366357,CPDM,,ADAMAWA,,,male
,YOUWO bernard,Q3366357,CPDM,,WEST,,,male
,ZA'ABA Janvier,Q3366357,CPDM,,CENTRE,,,male
,ZAM Jean Jacques Noel,Q3366357,CPDM,,SOUTH,,,male
,ZONDOL HERSSESSE,Q3366357,CPDM,,FAR-NORTH,,,male
,ZOUBAINATOU Salihou,Q3366357,CPDM,,FAR-NORTH,,,female
,Zitha TSILA BILOA,Q3366357,CPDM,,LITTORAL,,,male
,jean baptiste MBAPTE,Q3366357,CPDM,,LITTORAL,,,male
,jean-Bertrand NDONGO ESSOMBA,Q3366357,CPDM,,CENTRE,,,male
,yves Martin AHANDA ASSIGA,Q3366357,CPDM,,CENTRE,,,male
