item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111342338,ABBA MALLA,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342338-3C2B7940-9DAE-429B-B8CF-F8566CA8A18C
Q111342339,Abe Michael Ndra,Q1470113,Social Democratic Front,,,2013-10-29,2019-12-29,,Q111342339-2F1B2DFE-60AB-4CC5-B3CF-4575921CE5D9
Q111340969,Abomo Fama Margueritte Aline,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340969-98EB79C9-0475-4F64-AA48-BA84EE2A4A43
Q111342340,Aboubakar Ibrahim,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342340-05F1F90F-DB70-4B02-B9DC-613341568A38
Q111342341,Ada Owona Rose épouse Nguini Effa Marie,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342341-780400CB-894E-4D9C-849A-A97305263160
Q111342342,Adama épouse Djibrine,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342342-F1007EF3-D126-405C-9F2E-AA08E2595842
Q111342343,Ahanda Assiga Yves Martin,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342343-36074CA2-8F01-4E46-A092-1E6B0370E8BA
Q23001643,Albert Kouinche,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,male,Q23001643-A44026B3-8E2E-4F6D-9BFC-2F9F250B98E5
Q111342344,Aleh Eyabi Clarah,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342344-CE894DD7-2A62-4AC1-8BED-984AB8AF1C48
Q111340975,Ali Adjit,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340975-72BEBC26-138B-4EE5-85C7-BC0D913DDC9C
Q111342345,Ali BACHIR,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342345-9C49C9DE-3551-4BFC-99DF-2F2D5A02A8AC
Q111340976,Ali Mamouda,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340976-CEC45240-E4AB-4298-B25B-3F136EE4D974
Q111340978,Aliyoum Fadil,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340978-E9255BAF-18FD-465B-9CD4-A4F465EC405E
Q111342346,Amadou Adji,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342346-9E06D49F-7AD9-4314-9032-B63386367EC0
Q111342347,Amadou Mohaman,Q6979097,National Union for Democracy and Progress,,,2013-10-29,2019-12-29,,Q111342347-4F5BE152-A30F-48AA-B408-769C11EB57FC
Q111340982,Atangana Aligui Celine Catherine épouse Mendouga,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340982-0000AD7A-67EC-4554-A2FA-144CDBDCA633
Q111340983,Ateawung Foju Bernard,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340983-988C7C49-09C6-422F-AF28-8114FE28FF75
Q111342348,Awudu Mbaya Cyprian,Q1470113,Social Democratic Front,,,2013-10-29,2019-12-29,,Q111342348-4C4A4334-5E44-476E-BE6F-511B91062820
Q111342349,Banadzem Joseph Lukong,Q1470113,Social Democratic Front,,,2013-10-29,2019-12-29,,Q111342349-86088759-5C74-4CBA-A5DC-91286C598936
Q111342350,Banlog Polycarpe,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342350-C3D66121-0691-4456-91FC-9DF483ABC845
Q111340985,Banmi Emmanuel Dingha,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340985-0BD016DE-3858-4FE9-B472-2F9BBEC8F46D
Q111340986,Baoro Theophile,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340986-B6518CF5-E0ED-46F7-B174-58326762D0AF
Q111342492,Bapooh Lipot Robert,Q1860584,Union of the Peoples of Cameroon,,,2013-10-29,2019-12-29,,Q111342492-62B9DE72-779A-428B-A651-BD923B287705
Q111340987,Bara Julien,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340987-3B1F7A97-5160-4AA5-B571-40FE0FD3858C
Q111342509,Barnabé ELOUNDOU,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342509-EFA42166-FC57-44CF-8E63-9DD06D48D136
Q111342493,Bekono Ebah épouse Pauline Ndoumou,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342493-67D0D5EF-8704-4E7C-9A94-D0661FDE6013
Q111340990,Bello Limane,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111340990-690818E0-B737-4638-97FC-A4593043465F
Q111342494,Biloa Tsilla Zitha Marie Esabelle,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342494-097CBA32-E316-439C-9C46-6B0BCFD0FB93
Q111342495,Bouba Jean Taida,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342495-B1957FC1-0EA8-48DA-A2CF-2CEA1A6EF905
Q111342496,Boulou Nguizi Joseph,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342496-5B042A74-A4ED-47DC-9105-FD9C031BB02E
Q4160254,Cavayé Yéguié Djibril,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,male,Q4160254-5A8B9DAA-0370-4FE8-98F3-3890E609C1BF
Q16269686,Claude Juimo Siewe Monthé,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,male,Q16269686-43778B91-9DBC-4656-90E5-20E5017C33C9
Q111341002,DIMBELE BOUI,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111341002-240B8EFD-530C-49C0-B165-B22037B9E893
Q111342501,DOPE Honorine épse ASSOGNLEBOT,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342501-A02A9DB5-7318-474A-AFF3-40BD1D50337B
Q111342497,Dahirou Ahmadou,Q6979097,National Union for Democracy and Progress,,,2013-10-29,2019-12-29,,Q111342497-01169877-317C-4E0A-9D12-12C8FA082860
Q111342498,Danata Paul,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342498-E7538A5E-EB3C-4EA4-9278-730C64F5DDDA
Q111342499,Deffo Oumbe Sangong,Q1470113,Social Democratic Front,,,2013-10-29,2019-12-29,,Q111342499-01F52A76-0CDC-4ACC-BC7E-98E0F549BDD2
Q111342500,Dimodi Tongo épouse Marlyse Rose Douala Bell,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111342500-8142838E-F8B5-4F47-9EE8-9033319E6B59
Q111341010,Djomgoue Paul Eric,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111341010-154C6B0F-880E-47A6-9F7A-8011FFAB0B3E
Q111341012,Dooh Collins Albert Kouoh,Q953447,Cameroon People's Democratic Movement,,,2013-10-29,2019-12-29,,Q111341012-B46F67AE-61AC-4828-85E0-3D2286DD3BDE
