@@,item,name,party,partylabel,area,arealabel,startdate,enddate,gender
->,Q111342508,Marguerite Hélène Dissake Née Akoka,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,NULL->female
->,Q111341084,Marie Suzanne Onobiono N'Nolo,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->female
->,Q111342500,Marlyse Rose Douala Bell Née Dimodi Tongo,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,NULL->female
---,Q111342543,Martin Atinda Mboni,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111341062,Mary Muyali Boya Épse Meboka,Q953447,RDPC->CPDM,,NULL->SOUTH-WEST,2013-10-29,2019-12-29,NULL->female
->,Q111342544,Matsang Seyi Mama,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
->,Q111342546,Mbanya Bolevie Petgna,Q1470113,SDF,,NULL->SOUTH-WEST,2013-10-29,2019-12-29,NULL->male
->,Q111342549,Mbouombouo Mama,Q3550257,UDC->CDU,,NULL->WEST,2013-10-29,2019-12-29,
---,Q111342550,Mebande Brigitte,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111342551,Mfouapon Alassa,Q3550257,UDC->CDU,,NULL->WEST,2013-10-29,2019-12-29,
->,Q111342554,Moutymbo Épse Ayayi Rosette Julienne,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,NULL->female
->,Q111341085,Nanga Marthe Georgette Clarise Épse Menana,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->female
->,Q111342339,Ndra Micheal Abe,Q1470113->Q953447,SDF->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,
->,Q111341097,Ngahane,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,NULL->male
->,Q111342559,Ngala Esther Ntala,Q1470113->Q953447,SDF->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,
---,Q111342560,Ngandji Hounkoueng Oumarou,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111341102,Ngbanbaye Antoinette,Q953447,RDPC->CPDM,,NULL->EAST,2013-10-29,2019-12-29,
->,Q111342561,Ngo Nyaba Épse Djon Ii,Q1860584,UPC,,NULL->CENTRE,2013-10-29,2019-12-29,
->,Q111342341,Nguini Effa Née Ada Owana Marie Rose,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->female
->,Q111342562,Ngujede Ngole Robert,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,NULL->male
->,Q111341109,Nikita Pierre,Q953447,RDPC->CPDM,,NULL->NORTH,2013-10-29,2019-12-29,NULL->male
->,Q111342563,Nji Ntumasang Paul,Q1470113,SDF,,NULL->NORTH-WEST,2013-10-29,2019-12-29,NULL->male
---,Q111341110,Njingum Musa Mbutoh,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111341111,Njong Evariste Ndim,Q1470113,SDF,,NULL->FAR-NORTH,2013-10-29,2019-12-29,
->,Q111341347,Njume Peter Ambang,Q953447,RDPC->CPDM,,NULL->EAST,2013-10-29,2019-12-29,NULL->male
->,Q111342564,Nlang Martine Épse Ngbwa,Q953447,RDPC->CPDM,,NULL->SOUTH,2013-10-29,2019-12-29,NULL->female
->,Q111342565,Nnama Marie Thérèse Épse Essama,Q953447,RDPC->CPDM,,NULL->SOUTH,2013-10-29,2019-12-29,NULL->female
->,Q111342566,Nsa Moussa,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,NULL->male
+++,"",Nsosie Ebah Susana Épse Okpu,Q953447,CPDM,"",SOUTH-WEST,"","",female
->,Q111342567,Ntsama Belinga Jeanne Épse Ottou,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->female
->,Q111342568,Nyassa Épse Bekolo Ebe Julienne,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->female
->,Q111342569,Nzougnou Dit Fotsa Ngong,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,NULL->male
->,Q111342570,Ongola Omgba Jean Simon,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
->,Q111342506,Oscar Edimo Ndoumbe,Q1470113->Q953447,SDF->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,NULL->male
->,Q111341348,Oumoul Koultchoumi Épse Ahidjo Mohamadou,Q6979097->Q953447,UNDP->CPDM,,NULL->NORTH,2013-10-29,2019-12-29,
->,Q111342571,Owona Kono Joseph Hyacinte,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,
->,Q111342572,Oyono Martin,Q953447,RDPC->CPDM,,NULL->SOUTH,2013-10-29,2019-12-29,NULL->male
->,Q111342573,Pangmashi Roland Fue,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
->,Q111342498,Paul Danata,Q953447,RDPC->CPDM,,NULL->EAST,2013-10-29,2019-12-29,NULL->male
->,Q30582124,Placide Nguefack,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,male
->,Q111342350,Polycarpe Banlog,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
->,Q111342553,Prosper Monessel,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,
->,Q111341074,Roger Melingui,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
---,Q21866844,Roger Nkodo Dang,Q953447,RDPC,,,2013-10-29,2019-12-29,male
->,Q111342574,Sali Boubadjan,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,NULL->male
->,Q111342575,Sali Dairou,Q953447,RDPC->CPDM,,NULL->FAR-NORTH,2013-10-29,2019-12-29,NULL->male
+++,"",Salomon,Q953447,CPDM,"",FAR-NORTH,"","",""
->,Q111342576,Samba Mariama,Q3550257->Q953447,UDC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
->,Q111342499,Sangong Deffo Oumbe,Q1470113,SDF,,NULL->SOUTH-WEST,2013-10-29,2019-12-29,
---,Q111342577,Sassouan Hirihiri,Q953447,RDPC,,,2013-10-29,2019-12-29,
->,Q111342578,Sende Pierre,Q1860584->Q953447,UPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,
->,Q111341358,Sime Pierre,Q953447,RDPC->CPDM,,NULL->LITTORAL,2013-10-29,2019-12-29,
+++,"",Soub Pierre,Q953447,CPDM,"",LITTORAL,"","",""
---,Q111342579,Souob Lazare,Q20982150,MRC,,,2013-10-29,2019-12-29,
->,Q111341361,Tak Bienvenu,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,NULL->male
+++,"",Temwa,Q953447,CPDM,"",FAR-NORTH,"","",""
---,Q110511220,Théodore Datouo,Q953447,RDPC,,,2013-10-29,2019-12-29,male
->,Q111341067,Théodore Mendomo Mbe Assae,Q953447,RDPC->CPDM,,NULL->SOUTH,2013-10-29,2019-12-29,NULL->male
+++,"",Todou,Q953447,CPDM,"",ADAMAWA,"","",male
---,Q111342581,Tomaino Ndam Njoya Hermine Patricia,Q3550257,UDC,,,2013-10-29,2019-12-29,
->,Q111342582,Vedjou Esther,Q953447,RDPC->CPDM,,NULL->ADAMAWA,2013-10-29,2019-12-29,NULL->female
->,Q111342583,Viche Taga,Q953447,RDPC->CPDM,,NULL->ADAMAWA,2013-10-29,2019-12-29,NULL->male
->,Q111341018,Vincent De Paul Emah Etoundi,Q953447,RDPC->CPDM,,NULL->CENTRE,2013-10-29,2019-12-29,
->,Q111341373,Wa Mathurin Martial,Q953447,RDPC->CPDM,,NULL->WEST,2013-10-29,2019-12-29,NULL->male
