@@,item,name,party,area
+++,"",Abomo Fama Marguerite Aline,"",""
---,Q111340969,Abomo Fama Margueritte Aline,Q953447,
---,Q111342341,Ada Owona Rose Épouse Nguini Effa Marie,Q953447,
+++,"",Ada Owona Épse Nguini Effa Marie Rose,"",""
---,Q111342342,Adama Épouse Djibrine,Q953447,
+++,"",Adama Épse Djibrine,Q953447,Q823976
---,Q23001643,Albert Kouinche,Q953447,
->,Q111342344,Aleh Eyabi Clarah,Q953447,NULL->Q607499
->,Q111340975,Ali Adjit,Q953447,NULL->Q823976
---,Q111342345,Ali Bachir,Q953447,
+++,"",Ali Bachir Hamadou,"",""
->,Q111342346,Amadou Adji,Q953447->Q6979097,NULL->Q823976
->,Q111342347,Amadou Mohaman,Q6979097,NULL->Q502341
+++,"",Aminatou,"",""
---,Q111340982,Atangana Aligui Celine Catherine Épouse Mendouga,Q953447,
+++,"",Atangana Aligui Céline Épse Mendoua,Q953447,Q857122
->,Q111340983,Ateawung Foju Bernard,Q953447,NULL->Q607499
+++,"",Atewung Foju Bernard,Q953447,Q857122
->,Q111342348,Awudu Mbaya Cyprian,Q1470113,NULL->Q823946
->,Q111342349,Banadzem Joseph Lukong,Q1470113,NULL->Q823946
+++,"",Baoro Théophile,Q953447,Q351514
->,Q111342492,Bapooh Lipot Robert,Q1860584,NULL->Q739951
+++,"",Bekono Ebah Pauline Épse Ndoumou,Q953447,Q857122
---,Q111342493,Bekono Ebah Épouse Pauline Ndoumou,Q953447,
---,Q111342494,Biloa Tsilla Zitha Marie Esabelle,Q953447,
+++,"",Biloa Tsilla Zitha Marie Isabelle,"",""
+++,"",Boulou Guizi Joseph,"",""
---,Q111342496,Boulou Nguizi Joseph,Q953447,
+++,"",Cavaye Yeguie Djibril,Q953447,Q823976
---,Q4160254,Cavayé Yéguié Djibril,Q953447,
---,Q16269686,Claude Juimo Siewe Monthé,Q953447,
->,Q111342497,Dahirou Ahmadou,Q6979097,NULL->Q351514
+++,"",Datouo Théodore,Q1470113,Q165784
->,Q111342499,Deffo Oumbe Sangong,Q1470113,NULL->Q165784
---,Q111342500,Dimodi Tongo Épouse Marlyse Rose Douala Bell,Q953447,
+++,"",Dissake Née Ekoka Marguerite Hélène,"",""
+++,"",Djibrila Kaou,"",""
---,Q111363683,Djibrilla Kaoua,Q953447,
->,Q111341010,Djomgoue Paul Eric,Q953447,NULL->Q739951
->,Q111341012,Dooh Collins Albert Kouoh,Q953447,NULL->Q845172
---,Q111342501,Dope Honorine Épouse Assongnolebot,Q953447,
+++,"",Dope Honorine Épse Assognolebot,"",""
->,Q111342503,Dougouf Djonkio Ali,Q953447,NULL->Q823976
---,Q111341013,Douvaouissa Aissa Hamadi,Q6979097,
+++,"",Douvaouissa Aïssa Hamadi,Q6979097,""
---,Q111342504,Dzite Épouse Ngassam Thérèse,Q953447,
+++,"",Dzite Épse Ngassam Thérèse,Q953447,Q165784
->,Q111342505,Edena Enih Mbah,Q1470113,NULL->Q823946
->,Q111342506,Edimo Ndoumbe Oscar,Q1470113,NULL->Q845172
->,Q111342507,Ekanga Abata Joachim,Q953447,NULL->Q845168
---,Q111342508,Ekoka Marguerite Helene Épouse Dissake,Q953447,
---,Q111341016,Elise Ndongo Moutome Épouse Pokossy Ndoumbe,Q953447,
+++,"",Elise Ndongo Moutome Épse Pokossy Ndoumbe,Q953447,Q845172
---,Q111342509,Eloundou Barnabe,Q953447,
+++,"",Eloundou Barnabé,Q953447,Q739951
->,Q111341017,Emabot Brigitte,Q953447,NULL->Q165784
->,Q111341018,Emah Etoundi Vincent De Paul,Q953447,NULL->Q739951
---,Q106576581,Emilia Monjowa Lifaka,Q953447,
---,Q111363687,Enow Etoundi,Q953447,
+++,"",Enow Tandjong,Q953447,Q607499
---,Q111342510,Enow Tanjong,Q953447,
->,Q111342511,Enwe Francis Abi,Q953447,NULL->Q823946
---,Q111342512,Epondo Fouda Cecile Marie,Q953447,
+++,"",Epondo Fouda Céline Marie,Q953447,Q739951
->,Q111342513,Essame Joseph Ernest Pierre,Q953447,NULL->Q845172
+++,"",Etombi Bolevie Gladys,Q953447,Q607499
---,Q111342514,Etombi Ikome Gladys,Q953447,
---,Q111341022,Etong Hilarion,Q953447,
+++,"",Etong Ndzok Hilarion,Q953447,Q739951
---,Q111341024,Eyoum Minono Épouse Epoube Lydienne,Q953447,
+++,"",Eyoum Minono Épse Epoube Lydienne,Q953447,Q845172
->,Q111341025,Fadimatou Sambo,Q953447,NULL->Q502341
---,Q16635922,Faustine Fotso,Q953447,
->,Q111341027,Feutheu Jean Claude,Q953447,NULL->Q165784
->,Q111342515,Fobi Nchinda Simon,Q1470113,NULL->Q823946
->,Q111342517,Fossi Jacob,Q953447,NULL->Q165784
+++,"",Fotso Laure Pauline,Q953447,Q165784
+++,"",Fotso Née Chebou Kamdem Faustine Villaneau,Q953447,Q165784
->,Q111342518,Fritz Ngeka Etoke,Q953447,NULL->Q607499
---,Q111342520,Fusi Naamukong Wilfred Aziya,Q1470113,
+++,"",Fusi Naamukong Wilfried Aziya,Q1470113,Q823946
->,Q111342521,Gbayanga Robert,Q953447,NULL->Q845168
->,Q111342522,Genesis Mbucksek,Q1470113->Q953447,NULL->Q823946
->,Q111342523,Gondji Elias,Q953447,NULL->Q823976
---,Q111342524,Gonodo Jean,Q953447,
+++,"",Gonondo Jean,Q953447,Q823976
->,Q111341034,Halia Moussa Moufta,Q953447,NULL->Q351514
->,Q18414272,Hamadou Sali,Q953447,NULL->Q823976
->,Q111341035,Haman Tchiouto,Q953447,NULL->Q823976
->,Q111341037,Harouna Nyako,Q953447,NULL->Q502341
->,Q111342526,Ibrahima Dewa,Q953447,NULL->Q351514
+++,"",Igelle Elias Erhemen,Q953447,Q823946
---,Q111342527,Igelle Elias Terhemen,Q953447,
---,Q15713969,Jean-Michel Nintcheu,Q1470113,
---,Q6799571,Joseph Mbah Ndam,Q1470113,
---,Q28967171,Joseph Mboui,Q953447,
+++,"",Joshua Nambangi Osih,Q1470113,Q845172
---,Q38459914,Joshua Osih,Q1470113,Q845172
+++,"",Juimo Siewe Monthe Claude,Q953447,Q165784
+++,"",Kamsouloum Abba Kabir,Q953447,Q823976
---,Q111341041,Kamssouloum Abba Kabir,Q953447,
->,Q111342529,Kankeu Joseph,Q953447,NULL->Q165784
---,Q111342531,Kegne Mafong Joséphine Épouse Fotso,Q953447,
+++,"",Kegne Mafong Joséphine Épse Fotso,Q953447,Q165784
->,Q111342532,Koa Luc,Q953447,NULL->Q739951
+++,"",Koa Mfegue Laurentine Épse Mbede,Q953447,Q739951
---,Q111341043,Koa Mfeugue Laurentine Epouse Mbede,Q953447,
->,Q111342533,Komba Gaston,Q953447,NULL->Q845172
->,Q111341045,Kombo Gberi,Q953447,NULL->Q845168
+++,"",Kouinche Albert,Q953447,Q165784
->,Q111342534,Koulagna Abdou,Q953447,NULL->Q351514
->,Q111341048,Kwarmba Solange,Q953447,NULL->Q502341
->,Q111341049,Kwei Andrew Mngo,Q1470113->Q953447,NULL->Q823946
->,Q111342535,Laoussou Pierre,Q15195678,NULL->Q823976
---,Q15713967,Laure-Pauline Fotso,Q953447,
->,Q111342536,Lisinge Arthur Ekeke,Q953447,NULL->Q607499
---,Q30546273,Lucien Wantou Siantou,Q953447,
---,Q111342537,Madio Gnitidem Odette Louise Épouse Melaga,Q953447,
+++,"",Madio Gnitidem Odette Louise Épse Melaga,Q953447,Q165784
+++,"",Madjele,Q953447,Q823976
->,Q111342539,Mai Rachel,Q953447,NULL->Q502341
->,Q111341055,Man Jacqueline Christiane,Q953447,NULL->Q845168
---,Q111341056,Manamourou Épouse Silikam,Q953447,
+++,"",Manamourou Épse Silikam,Q953447,Q823976
->,Q111341058,Mandio William Peter,Q953447,NULL->Q739951
->,Q111341059,Manfouo David,Q953447,NULL->Q165784
---,Q111342541,Maounde Leonard,Q953447,
+++,"",Maounde Léonard,Q953447,Q502341
->,Q111341061,Mariam Goni,Q953447,NULL->Q823976
+++,"",Marlyse Rose Douala Bell Née Dimodi Tongo,Q953447,Q845172
->,Q111342543,Martin Atinda Mboni,Q953447,NULL->Q607499
---,Q111341062,Mary Muyali Boya Épouse Meboka,Q953447,
+++,"",Mary Muyali Boya Épse Meboka,Q953447,Q607499
->,Q111342544,Matsang Seyi Mama,Q953447,NULL->Q739951
+++,"",Mbah-Ndam Joseph,Q1470113,Q823946
+++,"",Mbala Ngobo Cathérine Épse Mfoula,Q953447,Q739951
---,Q111341064,Mballa Ngobo Catherine Épouse Mfoula,Q953447,
->,Q111342546,Mbanya Bolevie Petnga,Q1470113->Q953447,NULL->Q823946
+++,"",Mbapte Jean Baptiste,Q953447,Q845172
---,Q111341065,Mbapte Jean-Baptiste,Q953447,
->,Q111341066,Mbarga Assembe Luc Roger,Q953447,NULL->Q739951
---,Q111341067,Mbe Assae Mendomo Theodore,Q953447,
+++,"",Mbe Assae Mendomo Théodore,Q953447,Q857122
->,Q111342547,Mbiam Emmanuel,Q953447,NULL->Q857122
+++,"",Mbiybe Caroline,Q1470113,Q823946
---,Q111342548,Mbiye Caroline,Q1470113,
+++,"",Mboui Joseph,Q953447,Q845172
->,Q111342549,Mbouombouo Mama,Q3550257,NULL->Q165784
