@@,item,name,party,area
+++,"",Abakar Mahamat,Q953447,Q823976
+++,"",Abba Boukar,Q953447,Q823976
+++,"",Abbo André Théodore,Q6979097,Q351514
+++,"",Abbo Mohomadou,Q6979097,Q351514
+++,"",Abdoulaye Bougue,Q953447,Q502341
+++,"",Adama Modi,Q953447,Q823976
+++,"",Adamou Ndam Njoya,Q3550257,Q165784
+++,"",Adji Marie-Paule,Q6979097,Q351514
+++,"",Adjibolo Philémon,Q953447,Q845168
+++,"",Aka Amuam Joseph,Q1470113,Q823946
+++,"",Akonteh Andrew Bengkah Babila,Q1470113,Q823946
+++,"",Aktai Alaou,Q953447,Q823976
+++,"",Ali Adjit,Q953447,Q823976
+++,"",Amadou Mohaman,Q6979097,Q502341
+++,"",Ambela Foumena Louis,Q953447,Q739951
+++,"",Ambombo Nga,Q953447,Q845172
+++,"",Amougou Noma Nicolas,Q953447,Q739951
+++,"",Amvela Dominique,Q953447,Q857122
+++,"",Andze Andze Emile,Q953447,Q739951
+++,"",Anoke Gaston Berdin,Q953447,Q845172
+++,"",Aoudou Dang Assabe,Q953447,Q351514
+++,"",Asah Barnabas Asane,Q1470113,Q823946
+++,"",Asu Georges Mbanda,Q1470113,Q823946
+++,"",Atangana Maze Jean Alfred,Q953447,Q739951
+++,"",Ava Ava Joseph Emmanuel C.,Q953447,Q739951
+++,"",Awudu Mbaya Cyprian,Q1470113,Q823946
+++,"",Ayukachale Peter Egbe,Q953447,Q607499
+++,"",Bahounoui Batende Léon,Q953447,Q739951
+++,"",Bakary Djalo,Q953447,Q502341
+++,"",Baloulognoli Maurice,Q953447,Q845168
+++,"",Banlog Polycarpe,Q953447,Q845172
+++,"",Banseka Michael Tah,Q1470113,Q823946
+++,"",Baoro Théophile,Q953447,Q351514
+++,"",Bassa Botiba Florence Eugénie,Q953447,Q739951
+++,"",Bello Bouba Maigari,Q6979097,Q502341
+++,"",Benae Serge Gabriel,Q953447,Q857122
+++,"",Biwongo Née Assombang Atu'U M.L..,Q953447,Q857122
+++,"",Blama Malla,Q953447,Q823976
+++,"",Bol Alima Gibering,Q953447,Q739951
+++,"",Bomoukou Nkono Réné,Q6979097,Q845168
+++,"",Bouba Samali Bernard,Q953447,Q502341
+++,"",Bungong Jinka Jonathan,Q1470113,Q823946
+++,"",Cavaye Yeguie Djibril,Q953447,Q823976
+++,"",Chemo Sama Eyikeshi,Q1470113,Q823946
+++,"",Chia Emmanuel Ngam,Q1470113,Q823946
+++,"",Dakole Daissala,Q15195678,Q823976
+++,"",Danata Paul,Q953447,Q845168
+++,"",Dewa Mohaman,Q953447,Q502341
+++,"",Divawoui Benoît,Q953447,Q502341
+++,"",Djafarou Mohamadou,Q953447,Q351514
+++,"",Djamara Loursantou,Q953447,Q823976
+++,"",Dooh Priso Emmanuel,Q953447,Q845172
+++,"",Ebai John Tong,Q1470113,Q607499
+++,"",Ebanga Ekata Gaston,Q953447,Q857122
