@@,item,name,party,area
+++,"",Effoe Johnson Vekima,Q1470113,Q607499
+++,"",Efoua Mbozo'O Samuel,Q953447,Q857122
+++,"",Egbe Batuo Stephen,Q953447,Q607499
+++,"",Ekoumou Evouna,Q953447,Q739951
+++,"",Etong Ndzok Hilarion,Q953447,Q739951
+++,"",Etouki Menkoue,Q953447,Q845168
+++,"",Etoundi Ayissi Florent Mesmin,Q953447,Q739951
+++,"",Etoundi Ngoa Laurent,Q953447,Q739951
+++,"",Eyebe Lebogo Paul,Q953447,Q739951
+++,"",Eyombwan Brunot,Q1470113,Q845172
+++,"",Fetekoue Made,Q953447,Q823976
+++,"",Fon Doh Gah Gwanyin Iii,Q953447,Q823976
+++,"",Fonso Peter Choo,Q1470113,Q823946
+++,"",Fopoussi Evariste,Q1470113,Q165784
+++,"",Fouedjeu Pierre,Q953447,Q165784
+++,"",Gaou Andre,Q953447,Q823976
+++,"",Godom Gadjere Etienne,Q953447,Q823976
+++,"",Gombol Félix,Q953447,Q823976
+++,"",Gonondo Jean,Q953447,Q823976
+++,"",Guyat Emile Ahmadou,Q953447,Q823976
+++,"",Hamadou Bobodji,Q6979097,Q351514
+++,"",Hamadou Malloum,Q6979097,Q823976
+++,"",Hamadou Sali,Q953447,Q823976
+++,"",Haman Tchiouto,Q953447,Q823976
+++,"",Hamidou,Q953447,Q351514
+++,"",Harouna Nyako,Q953447,Q502341
+++,"",Hele Pierre,Q6979097,Q823976
+++,"",Jua Paulinus Toh,Q1470113,Q823946
+++,"",Kack Kack Etienne Gérard,Q953447,Q739951
+++,"",Kalvoksou Rigobert,Q953447,Q823976
+++,"",Kamssouloum Abba Habir,Q953447,Q823976
+++,"",Kdji Jean Patrice,Q1470113,Q845172
+++,"",Kenfack Christophe,Q953447,Q165784
+++,"",Kenmogne Yvette Claudine,Q953447,Q739951
+++,"",Kerbai Laoukoura Jean,Q953447,Q502341
+++,"",Keyanfe Jean Robert,Q1470113,Q165784
+++,"",Koah Songo Gabriel,Q953447,Q739951
+++,"",Kodock Augustin Fréderick,Q1860584,Q739951
+++,"",Konglimnyuy Joseph Kwi,Q1470113,Q823946
+++,"",Kubuku C.Oyong,Q953447,Q607499
+++,"",Kwemo Pierre,Q1470113,Q165784
+++,"",Lebogo Bessala Longin,Q953447,Q739951
+++,"",Longtchi Abenicot,Q1470113,Q845172
+++,"",Maka Daniel,Q953447,Q845172
+++,"",Mamoudou Abdouramani,Q6979097,Q823976
+++,"",Manamourou Épse Silikam,Q953447,Q823976
+++,"",Mandeng Ambassa Patrice,Q953447,Q739951
+++,"",Mbah Ndam Joseph Njang,Q1470113,Q823946
+++,"",Mbang Reuben Awuh,Q1470113,Q823946
+++,"",Mbarga Mvondo Jean Albert,Q953447,Q857122
+++,"",Mbiam Emmanuel,Q953447,Q857122
+++,"",Mbinkar Ngong Michael,Q1470113,Q823946
+++,"",Mengolo Avomo Raymond,Q953447,Q857122
+++,"",Messebe Abeng Prosper,Q953447,Q739951
+++,"",Mokube Martin Massa,Q953447,Q607499
+++,"",Mongkuo Ngupepong Laurence,Q1470113,Q165784
+++,"",Monthe Nkouobite Jean,Q1470113,Q165784
+++,"",Mosaki Elias Njio,Q953447,Q607499
+++,"",Mouatong Mouatong,Q1470113,Q845172
+++,"",Moukouri Dina Manga Bell Charles,Q1470113,Q845172
+++,"",Mouliom Mah Issa,Q3550257,Q845172
+++,"",Mukete Abel,Q953447,Q607499
+++,"",Mvondo Assam Bonaventure,Q953447,Q857122
+++,"",Najeme Samy Njumbe Ekema,Q953447,Q607499
+++,"",Namata Ewanga Ebenezer,Q953447,Q607499
+++,"",Namongo Ndeley Benedict,Q953447,Q607499
+++,"",Nana Hamadou,Q6979097,Q351514
+++,"",Nassourou Hamadou,Q953447,Q823976
+++,"",Ncharro Mama,Q3550257,Q165784
+++,"",Ndanga Ndinga Badel,"",""
+++,"",Ndobegang Michael Mbapndah,Q1470113,Q607499
+++,"",Ndogmo Jean,Q1470113,Q165784
+++,"",Ngniman Zacharie,Q953447,Q351514
+++,"",Ngollo Ngama Ngollo Emmanuel,Q953447,Q845172
+++,"",Ngoung Jean,Q953447,Q845168
+++,"",Nguenevit,Q1470113,Q165784
+++,"",Nguizaye Ndekone,Q953447,Q823976
+++,"",Njifako Yaka Simon Njutapmvoui,Q3550257,Q165784
+++,"",Njifan Tawo Moise Zola,Q3550257,Q165784
+++,"",Njoh Mouelle Ebenezer,Q953447,Q845172
+++,"",Nkodo Bala Max,Q953447,Q845172
+++,"",Nkolo Mama Pierre Damien,Q953447,Q739951
+++,"",Nnanga Ndoume Etienne,Q953447,Q857122
+++,"",Nnemde Emmanuel,Q953447,Q739951
+++,"",Noah Simon Chrysogone Jean,Q953447,Q739951
+++,"",Noumba Serge Siméon,Q1470113,Q165784
+++,"",Nsoh Zamcho Clément,Q1470113,Q823946
+++,"",Ntsimi Menye Antoine Louis Marie,Q953447,Q739951
+++,"",Ntsogo Beyeme Salomé,Q953447,Q739951
+++,"",Nyassa Louis Claude,Q953447,Q739951
+++,"",Nyobe Mangog Philippe,Q953447,Q739951
+++,"",Nzuobontane Andrew Ngabe,Q953447,Q607499
+++,"",Onana Owona Isidore,Q953447,Q739951
+++,"",Ouetchoua Macias,Q1470113,Q165784
+++,"",Ousmanou Toumba,Q953447,Q823976
+++,"",Oyie Ndzie Née Ntsama Marie T.,Q953447,Q857122
+++,"",Patehale Jean Claude,Q953447,Q502341
+++,"",Penne Robert,Q953447,Q845168
+++,"",Sakatai Claude,Q953447,Q823976
+++,"",Sale Charles,Q953447,Q845168
+++,"",Saly Abdourahman Abbassi,"",Q502341
+++,"",Shey Ndze Sammy,Q1470113,Q823946
+++,"",Simo Emmanuel,Q1470113,Q165784
+++,"",Siyam Siewe Alphonse,Q953447,Q165784
+++,"",Souleymanou Sali,Q953447,Q502341
+++,"",Tadonkeng Maurice,Q1470113,Q165784
+++,"",Tansah Jones Ndzie,Q1470113,Q823946
+++,"",Tasi Ntang Lucas,Q1470113,Q823946
+++,"",Tchana Mesack,Q953447,Q165784
+++,"",Tchatchouang Paul,Q1470113,Q165784
+++,"",Tchoua Jean Pierre,Q1470113,Q845172
+++,"",Tchouta Moussa Mbatkam Jean,Q953447,Q165784
+++,"",Tchuenkam,Q1470113,Q165784
+++,"",Tessue Daniel,Q1470113,Q165784
+++,"",Tiani Yuinang Fidèle,Q953447,Q845172
+++,"",Tjoues Née Hanglop Généviève.,Q953447,Q845172
+++,"",Tobbo Eyoum Thomas,Q953447,Q845172
+++,"",Tomedi Ndando Victoria,Q1470113,Q607499
+++,"",Tsitsol Louis Philippe,Q953447,Q845168
+++,"",Tsomelou Jean,Q1470113,Q165784
+++,"",Yondo Marcel,"",Q845172
+++,"",Yoyo Mohmbankah Emmanuel,Q1470113,Q823946
+++,"",Zaoro Adamou Samuel,Q953447,Q845168
+++,"",Zimri Jean Baptiste,Q953447,Q823976
+++,"",Zondol Herssesse,Q953447,Q823976
