item,name,party,partyLabel,area,areaLabel,startDate,endDate,gender,psid
Q111340975,Ali Adjit,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111340975-E64852F7-C81C-4D86-8886-428175E81EF6
Q111340976,Ali Mamouda,Q953447,RDPC,Q502341,North Region,2007-07-22,2013-07-22,,Q111340976-501A1CA7-B0E0-4ED0-B10E-A651E8A62E91
Q111340978,Aliyoum Fadil,Q953447,RDPC,Q502341,North Region,2007-07-22,2013-07-22,,Q111340978-502676A0-FBFC-424A-989B-411552601C4F
Q111342346,Amadou Adji,Q6979097,UNDP,Q823976,Far North,2007-07-22,2013-07-22,,Q111342346-973426EF-AD99-46AB-A135-BD14CBE8D18D
Q111342347,Amadou Mohaman,Q6979097,UNDP,Q502341,North Region,2007-07-22,2013-07-22,,Q111342347-97D6A361-49D9-4436-ACE9-5775BBADFBAA
Q111340983,Ateawung Foju Bernard,Q953447,RDPC,Q607499,Southwest Region,2007-07-22,2013-07-22,,Q111340983-C3C0BECC-94E7-4346-9C51-F732A489D07F
Q111342348,Awudu Mbaya Cyprian,Q1470113,SDF,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111342348-60B3B8B7-DE60-4E80-B46F-A86C72D93461
Q111342349,Banadzem Joseph Lukong,Q1470113,SDF,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111342349-D635C221-012C-4750-9012-4C3CE584602F
Q111340985,Banmi Emmanuel Dingha,Q953447,RDPC,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111340985-993E00B6-FED3-4DA3-BF32-A35BE46DC8E7
Q111340986,Baoro Théophile,Q953447,RDPC,Q351514,Adamawa,2007-07-22,2013-07-22,,Q111340986-64A76A91-2836-4E7B-AC12-536A4C1CAF2E
Q111342496,Boulou Nguizi Joseph,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111342496-242361AA-FBDE-46CD-B9B5-CFB939EF48DE
Q4160254,Cavaye Yeguie Djibril,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,male,Q4160254-2472B014-39FF-45F1-A683-F82758FEEE6B
Q111342498,Danata Paul,Q953447,RDPC,Q845168,East Region,2007-07-22,2013-07-22,,Q111342498-1BEC3158-31A5-435F-9137-257B602DFA88
Q111341012,Dooh Collins Albert Kouoh,Q953447,RDPC,Q845172,Littoral,2007-07-22,2013-07-22,,Q111341012-3969F904-2C2B-4FAD-A4E5-0BA29274784E
Q111342503,Dougouf Djonkio Ali,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111342503-059DF925-E502-4906-B407-04C34B839CC5
Q111342506,Edimo Ndoumbe Oscar,Q953447,RDPC,Q845172,Littoral,2007-07-22,2013-07-22,,Q111342506-4FAB24BA-083F-484F-9620-2FEC2B91D2DF
Q111341018,Emah Etoundi Vincent De Paul,Q953447,RDPC,Q739951,Centre,2007-07-22,2013-07-22,,Q111341018-6B7EB0DA-8CB9-4EE1-9D00-0691254A408E
Q111342511,Enwe Francis Abi,Q953447,RDPC,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111342511-8283DC73-9655-4CF3-A4D3-62950BCD9B20
Q111341027,Feutheu Jean Claude,Q953447,RDPC,Q165784,West Region,2007-07-22,2013-07-22,,Q111341027-DF12F7E2-F8FD-4C8E-92E5-EA20EC995DDA
Q111342515,Fobi Nchinda Simon,Q1470113,SDF,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111342515-E28EBE7C-0184-40D4-9DFB-6A63F0AF3683
Q111342517,Fossi Jacob,Q953447,RDPC,Q165784,West Region,2007-07-22,2013-07-22,,Q111342517-10186171-F436-4A2E-924E-99B20688A0EB
Q111342522,Genesis Mbucksek,Q953447,RDPC,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111342522-82F3CF17-7A01-40F7-A8DA-995B265CA148
Q111341032,Gonondo Jean,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111341032-7BBE6E19-E68D-4FF2-9822-C4443A92A340
Q111341034,Halia Moussa Moufta,Q953447,RDPC,Q351514,Adamawa,2007-07-22,2013-07-22,,Q111341034-0AF735ED-4479-4929-89AE-836F09A928C3
Q18414272,Hamadou Sali,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,male,Q18414272-E033C733-0F6D-45C4-84FF-F556E041F29B
Q111341035,Haman Tchiouto,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111341035-ED36D149-DD37-4FD3-8F07-64F3DE12EB1A
Q111341037,Harouna Nyako,Q953447,RDPC,Q502341,North Region,2007-07-22,2013-07-22,,Q111341037-A0C57F97-35AD-4015-A8CD-F4ECB927C26E
Q38459914,Joshua Osih,,,,,2013,,male,Q38459914-8ad210dc-4a54-410e-b4e3-d53d7190e75b
Q111341041,Kamssouloum Abba Kabir,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111341041-BD89F98E-6FD3-4EF9-914B-BF6112035A93
Q111342532,Koa Luc,Q953447,RDPC,Q739951,Centre,2007-07-22,2013-07-22,,Q111342532-6C3E48D4-AE6E-404C-85F0-325291D898E5
Q111342533,Komba Gaston,Q953447,RDPC,Q845172,Littoral,2007-07-22,2013-07-22,,Q111342533-2CDC283A-A206-4E2E-9E2E-4AB8A7185BA4
Q111341045,Kombo Gberi,Q953447,RDPC,Q845168,East Region,2007-07-22,2013-07-22,,Q111341045-4E1C9B0C-BC5B-4F15-8D79-2DE7D4CC399B
Q111341049,Kwei Andrew Mngo,Q953447,RDPC,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111341049-EC74DFFA-F5E5-4C1C-8EBA-58407C643DF0
Q111341059,Manfouo David,Q953447,RDPC,Q165784,West Region,2007-07-22,2013-07-22,,Q111341059-CD641F64-7248-451D-A0CF-20ABF0E81F96
Q111342544,Matsang Seyi Mama,Q953447,RDPC,Q739951,Centre,2007-07-22,2013-07-22,,Q111342544-2230BC04-8AF0-4FE9-91A8-D23F2249F323
Q6799571,Mbah Ndam Joseph Njang,Q1470113,SDF,Q823946,Northwest Region,2007-07-22,2013-07-22,male,Q6799571-06965F63-C481-4422-911A-C2A1B7E2B504
Q111341065,Mbapte Jean-Baptiste,Q953447,RDPC,Q845172,Littoral,2007-07-22,2013-07-22,,Q111341065-654C127B-5D00-4A30-AC06-69BFE2C6652E
Q111342547,Mbiam Emmanuel,Q953447,RDPC,Q857122,South Region,2007-07-22,2013-07-22,,Q111342547-D058A1E1-7E36-426D-942C-D82D9211C4F9
Q111342555,Mpacko Kotto Jean-Claude,Q953447,RDPC,Q845172,Littoral,2007-07-22,2013-07-22,,Q111342555-BB8E654C-CE61-49D7-B9B1-3A0922D329E2
Q111342556,Mvondo Assam Bonaventure,Q953447,RDPC,Q857122,South Region,2007-07-22,2013-07-22,,Q111342556-CC700636-0F97-46C5-96B3-A32583D0C161
Q111341090,Ndongo Essomba Jean-Bernard,Q953447,RDPC,Q739951,Centre,2007-07-22,2013-07-22,,Q111341090-EAB1F6C4-2E80-4538-AFE6-512F4C7104FA
Q111342559,Ngala Esther Ntala,Q1470113,SDF,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111342559-891D1E10-2F48-4A92-871C-2B36D6AF5C6C
Q111341109,Nikina Pierre,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111341109-2468FB0B-BC1A-42EC-BB3A-E1366E2B86D2
Q111341110,Njingum Musa Mbutoh,Q953447,RDPC,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111341110-A032D214-F6D3-47D1-98ED-F6BE3388886E
Q111341111,Njong Evaristus Ndim,Q1470113,SDF,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111341111-E27316F6-3613-4176-908A-611DADAE7BBB
Q111342566,Nsa Moussa,Q953447,RDPC,Q165784,West Region,2007-07-22,2013-07-22,,Q111342566-3374924A-29CA-4895-BD02-E136D723D70C
Q111342571,Owona Kono Joseph Hyacinthe,Q953447,RDPC,Q845172,Littoral,2007-07-22,2013-07-22,,Q111342571-0D8F3013-6671-4CBD-87A5-7E6DA4759204
Q111342572,Oyono Martin,Q953447,RDPC,Q857122,South Region,2007-07-22,2013-07-22,,Q111342572-A84716C9-D42A-4182-A460-5B115AAA57C8
Q111342575,Sali Dairou,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111342575-FA3F35CE-63CA-432E-8372-58455B890ECF
Q111341358,Sime Pierre,Q953447,RDPC,Q845172,Littoral,2007-07-22,2013-07-22,,Q111341358-933CCA1E-4A2D-42CF-A611-91616B96A1AF
Q111341373,Wa Mathurin Martial,Q953447,RDPC,Q165784,West Region,2007-07-22,2013-07-22,,Q111341373-0DC44D5C-9D36-4194-9992-263BD900A195
Q111342584,Wallang Richard Ebua,Q953447,RDPC,Q823946,Northwest Region,2007-07-22,2013-07-22,,Q111342584-0270BA3F-52B1-4802-903D-A27A2373AC32
Q111342586,Youwo Bernard,Q953447,RDPC,Q165784,West Region,2007-07-22,2013-07-22,,Q111342586-E300E285-62FA-45C8-ABD4-601A94341EF1
Q111341382,Zam Jean-Jacques Noel,Q953447,RDPC,Q857122,South Region,2007-07-22,2013-07-22,,Q111341382-9193E313-C9C3-4797-835C-C0A135F53300
Q111341383,Zondol Herssesse,Q953447,RDPC,Q823976,Far North,2007-07-22,2013-07-22,,Q111341383-54CCEBC1-8B20-4063-8D55-27E30CE37CCF
