name,item,party,partyLabel,area,areaLabel,position
FOUDA FOUDA Frédéric,,Q953447,RDPC,Q845168,EST,
FOYET Michel,,Q953447,RDPC,,"",
GAMANAN LAOBOL,,Q953447,RDPC,,"",
GONDJI Elias,,Q953447,RDPC,Q823976,EXTREME NORD,
GONONDO Jean,,Q953447,RDPC,Q823976,EXTREME NORD,
HAMADOU ALI BACHIR,,Q953447,RDPC,Q351514,ADAMAOUA,
HAMADOU SALI,,Q953447,RDPC,Q823976,EXTREME NORD,
HAMADOU SEIDOU,,Q953447,RDPC,Q823976,EXTREME NORD,
HAMAN TCHIOUTO,,Q953447,RDPC,Q823976,EXTREME NORD,
HAMATOUKOUR BOBBO,,Q953447,RDPC,Q351514,ADAMAOUA,
HAMIDOU,,Q953447,RDPC,Q351514,ADAMAOUA,
HAROUNA NYAKO,,Q953447,RDPC,Q502341,NORD,
IBRAHIMA DEWA,,Q953447,RDPC,Q351514,ADAMAOUA,
IMBIA Sylvester ITOE,,Q953447,RDPC,Q607499,SUD OUEST,
JUA Paulinus TOH,,Q1470113,SDF,Q823946,NORD OUEST,
