name,item,party,partyLabel,area,areaLabel,position
BATOUM Themotio,,Q953447,RDPC,Q845172,LITTORAL,
BELONG Maurice,,Q953447,RDPC,Q845172,LITTORAL,
BENAE Serge Gabriel,,Q953447,RDPC,Q857122,SUD,
BILE BIDJANG Martin,,Q953447,RDPC,Q857122,SUD,
BLAMA MALLA,,Q953447,RDPC,Q823976,EXTREME NORD,
BOKWE Samuel NGOE,,Q953447,RDPC,Q607499,SUD OUEST,
BOOTO A NGON André,,Q953447,RDPC,Q739951,CENTRE,
BOUBA DJOULDE,,Q953447,RDPC,Q823976,EXTREME NORD,
BOUBA SAMALI Bernard,,Q953447,RDPC,Q502341,NORD,
BOULOU NGUIZI Joseph,,Q953447,RDPC,Q823976,EXTREME NORD,
BUNGONG JINKA Jonathan,,Q1470113,SDF,Q823946,NORD OUEST,
CAVAYE YEGUIE DJIBRIL,,Q953447,RDPC,Q823976,EXTREME NORD,
CHE Phlilip,,Q1470113,SDF,Q823946,NORD OUEST,
CHEDJOU GABRIEL,,Q953447,RDPC,Q165784,OUEST,
CHEMO SAMA EYIKESHI,,Q1470113,SDF,Q823946,NORD OUEST,
