name,item,party,partyLabel,area,areaLabel,position
MBE ASSAE MENDOMO Théodore A.,,Q953447,RDPC,Q857122,SUD,
MBILE Norbert NANGIYA,,Q953447,RDPC,Q607499,SUD OUEST,
MBOCK Gabriel Charly,,Q1860584,UPC,Q845172,LITTORAL,
MBONDA Elie,,Q953447,RDPC,Q165784,OUEST,
MBOTCHAK Philippe,,Q953447,RDPC,Q165784,OUEST,
MBOUI Joseph,,Q953447,RDPC,Q845172,LITTORAL,
MEBANDE BRIGITTE. ép. ABDOULBAGUI,,Q953447,RDPC,Q845168,EST,
MEBOKA Catherine EPOSI,,Q953447,RDPC,Q607499,SUD OUEST,
MISSI Jean Raymond,,Q953447,RDPC,Q845172,LITORAL,
MOHAMADOU GASSIMOU,,Q953447,RDPC,Q502341,NORD,
MONJOWA LIFAKA Emilia,,Q953447,RDPC,Q607499,SUD OUEST,
MOUTASSI Benoît Roger,,Q953447,RDPC,Q845172,LITORAL,
MVINDI OBAMA Gaston,,Q953447,RDPC,Q739951,CENTRE,
NASELI Emmanuel SAKO,,Q953447,RDPC,Q607499,SUD OUEST,
NDEMBIYEMBE Paul Celestin,,Q953447,RDPC,Q739951,CENTRE,
