name,item,party,partyLabel,area,areaLabel,position
PONGOH Emmanuel,,Q953447,RDPC,,"",
PRINCE MIKODY Ange Gilbert,,Q953447,RDPC,Q857122,SUD,
SALAMANA AMADOU ALI II,,Q111340112,FSNC,,"",
SALOMON DOUVOGO,,Q953447,RDPC,Q823976,EXTREME NORD,
SAMBO Galdima,,Q953447,RDPC,,"",
SAROU Bernadette,,Q953447,RDPC,,"",
SAYA KAIGAMA,,Q953447,RDPC,,"",
SIME Pierre,,Q953447,RDPC,Q845172,LITTORAL,
SOHAING Colette,,Q953447,RDPC,Q165784,OUEST,
SOPPO TOUTE MARLYSE,,Q953447,RDPC,,"",
TABOULI Celestin,,Q953447,RDPC,,"",
TAK Bienvenu,,Q953447,RDPC,Q845168,EST,
TANEFO Jean Marie,,Q953447,RDPC,,"",
TASSI Evelyne Chantale Epse AYISSI,,Q953447,RDPC,,"",
TCHAGNA Jaqueline Rêve Angeline,,Q953447,RDPC,,"",
