name,item,party,partyLabel,area,areaLabel,position
MELINGUI Roger,,Q953447,RDPC,Q739951,CENTRE,
MEMOUNA MAHAMAT,,Q953447,RDPC,Q823946,NORD OUEST,
MENANA Née NANGA Marthe Georgette,,Q953447,RDPC,Q739951,CENTRE,
MENGUE MEZUI Germain Durand,,Q953447,RDPC,Q857122,SUD,
MOHAMADOU MAHDI,,Q953447,RDPC,Q165784,OUEST,
MOLUH NOURANE HASSANA,,Q97177912,PCRN,,"",
MONJOWA LIFAKA Emilia,,Q953447,RDPC,Q607499,SUD OUEST,
MOTH Samuel Dieudonné,,Q953447,RDPC,,"",
MOUMINI OUMAROU,,Q6979097,UNDP,,"",
MOUSSOUS LISSISSOU,,Q953447,RDPC,,"",
MOUTYMBO Rosette Julienne épouse AYAYI,,Q953447,RDPC,,"",
MPON François Xavier,,Q953447,RDPC,,"",
MUYALI BOYA Mary Epsé MEBOKO,,Q953447,RDPC,,"",
MVONDO ASSAM Bonaventure,,Q953447,RDPC,Q857122,SUD,
N’NOLO Marie Suzanne Épse ONOBIONO,,Q953447,RDPC,Q739951,CENTRE,
