name,item,party,partyLabel,area,areaLabel,position
NGBANBAYE Antoinette,,Q953447,RDPC,Q165784,OUEST,
NGNEGUE Simon,,Q953447,RDPC,,"",
NGO ISSI Rolande,,Q97177912,PCRN,,"",
NGO YETNA Marinette Epse MBELEG,,Q953447,RDPC,,"",
NGOKO NAMBE Marie Louise,,Q953447,RDPC,,"",
NGUENKAM Epse TCHOUAGA Marie Louise,,Q111340117,UMS,,"",
NIKINA Pierre,,Q953447,RDPC,Q823976,EXTREME NORD,
NINTCHEU Jean Michel,,Q1470113,SDF,Q845172,LITTORAL,
NJINGUM MUSA MBUTOH,,Q953447,RDPC,Q823946,NORD OUEST,
NJONG EVARISTUS NDIM,,Q1470113,SDF,Q823946,NORD OUEST,
NJUME Peter AMBANG,,Q953447,RDPC,Q607499,SUD OUEST,
NKODO DANG Roger,,Q953447,RDPC,,"",
OSIH JOSHUA,,Q1470113,SDF,Q845172,LITTORAL,
OUMOUL KOULCHOUMI Épse MOHAMADOU AHIDJO,,Q6979097,UNDP,Q502341,NORD,
OUSMANOU DAWAÏ,,Q953447,RDPC,,"",
