name,item,party,partyLabel,area,areaLabel,position
TCHENDE MAHAMA,,Q953447,RDPC,,"",
TEKOURA Paul Blaise,,Q953447,RDPC,,"",
TEKU TANYI TEKU,,Q953447,RDPC,,"",
TIKOBAU Pierre Marie,,Q953447,RDPC,,"",
TOUKAM Angèle Tela,,Q953447,RDPC,,"",
TSINGANG Flobert,,Q953447,RDPC,,"",
WA Mathurin,,Q953447,RDPC,,"",
WAINACHI Honorine,,Q1470113,SDF,,"",
WALLANG Richard EBUA,,Q953447,RDPC,, NORD OUEST,
YAKOUBA YAYA,,Q953447,RDPC,,"",
YAOUBA ALHADJI,,Q6979097,UNDP,Q857122,SUD,
YAYA DOUMBA Marius,,Q953447,RDPC,Q351514,ADAMAOUA,
YEBA Judith SAMA Epse MOUOKUIO,,Q953447,RDPC,,"",
YOUMO KOUPIT ADAMOU,,Q3550257,UDC,,"",
ZAM Jean Jacques Noel,,Q953447,RDPC,Q857122,SUD,
