name,item,party,partyLabel,area,areaLabel,position
KOA MFEGUE Laurentine Épse MBEDE,,Q953447,RDPC,Q739951,CENTRE,
KOAH SONGO Gabriel,,Q953447,RDPC,Q857122,SUD,
KOMBO GBERI,,Q953447,RDPC,Q845168,EST,
KOUINCHE Albert,,Q953447,RDPC,Q165784,OUEST,
KUM JOHN NJI,,Q953447,RDPC,,"",
KUMASE Simon,,Q953447,RDPC,Q165784,OUEST,
KWARMBA Solange,,Q953447,RDPC,Q502341,NORD,
KWEI Andrew MNGO,,Q953447,RDPC,,  NORD OUEST,
KWEMO Pierre,,Q111340117,UMS,,"",
LAWSON TABOT BAKIA,,Q953447,RDPC,Q607499,SUD OUEST,
LIBII LI NGUE NGUE Cabral,,Q97177912,PCRN,Q607499,SUD OUEST,
LUKONG Fostine FOMUY,,Q953447,RDPC,,"",
MAGOUO-Salomé,,Q953447,RDPC,,"",
MAN Jacqueline Christiane,,Q953447,RDPC,,EAST,
MANAMOUROU I SILIKAM,,Q953447,RDPC,Q823976,EXTREME NORD,
