@@,itemlabel,item,startdate,enddate
+++,Marcel Marigoh Mboua,,1962-05-11,1973
->,Fonka Shang Lawrence->Lawrence Fonka Shang,Q55643032,1988,1992
->,Cavayé Yéguié Djibril,Q4160254,1992-03-31->1992,
