item,name,region,regionLabel,startDate,endDate,psid
Q111355875,Din Bell Marie Armande,Q845172,Littoral,2018-03-25,,Q111355875-FB217CB8-3493-44EB-B96F-B2C1B633EA55
Q111355876,Moampea Mbio Née Ngbangako Marie Claire,Q845168,Est,2018-03-25,,Q111355876-FA1FD5B9-E62A-4F89-BA1B-5FA7D59BCACC
Q111355878,Amidou Maurice,Q502341,Province du Nord,2018-03-25,,Q111355878-58B6DDE5-F618-4D3E-80B5-9F61573082F8
Q111355879,Mbita Mvaebeme Lippert,Q857122,Région du Sud,2018-03-25,,Q111355879-0394A906-7518-426D-BFFA-A46B19993A1A
Q111355880,Mohaman Gabdo,Q351514,Adamaoua,2018-03-25,,Q111355880-305CE932-77A4-4219-ACC0-23D28AD0B586
Q111355881,Moussa Sabo,Q351514,Adamaoua,2018-03-25,,Q111355881-1727B5F4-7AD4-4820-8332-8CBF50A30647
Q111355883,Anong Adibime Pascal,Q739951,Centre,2018-03-25,,Q111355883-E3E82486-15D9-4584-9006-DEC8BB6B4828
Q111355887,Bisseck Paulette,Q857122,Région du Sud,2018-03-25,,Q111355887-23CA9282-0F6E-45F7-861E-F5121C698700
Q111355888,Bebnone Payounni,Q502341,Province du Nord,2018-03-25,,Q111355888-1A6AA482-146A-4545-BAA6-131E2465276A
Q111355889,Ngalli Ngoua Pierre Henri,Q857122,Région du Sud,2018-03-25,,Q111355889-8471EA75-A093-46CA-8EA3-A5D1E2718CFD
Q111355891,Namio Pierre,Q502341,Province du Nord,2018-03-25,,Q111355891-0F577222-D547-4131-B2E5-6EE34763BC7A
Q111355892,Ngayap Pierre Flambeau,Q845172,Littoral,2018-03-25,,Q111355892-82A84035-408A-4285-A61B-CD63BEC9C1D9
Q111355893,Hayatou Aïcha Pierrette,Q502341,Province du Nord,2018-03-25,,Q111355893-D3E4E4C3-D386-4EB2-917B-BD5A1FC301A8
Q111355897,Ankie Affiong Amah Rébecca,Q607499,Région du Sud-Ouest,2018-03-25,,Q111355897-A1A8995A-FA01-4358-9327-9D7A6F7679D1
Q111355898,Ze Nguele René,Q845168,Est,2018-03-25,,Q111355898-63DF9A3C-DD76-4808-9A5B-DE0611CAED60
Q111355899,Obam Assam Samuel,Q857122,Région du Sud,2018-03-25,,Q111355899-EE39D3D9-B62E-4A33-AC5C-D05299C39A96
Q111355900,Kingue Simon,Q845172,Littoral,2018-03-25,,Q111355900-20A9A915-5791-4439-85A0-54EE71112914
Q111355901,Anja Simon Onjwo,Q607499,Région du Sud-Ouest,2018-03-25,,Q111355901-825F66EE-9E39-467A-A0BE-54E81CEFE02A
Q111355903,Madiba Songue,Q845172,Littoral,2018-03-25,,Q111355903-C99D8080-87EC-42A8-A085-E0A5CDE1AB01
Q111355905,Naah Ondoa Sylvestre,Q739951,Centre,2018-03-25,,Q111355905-47D292E5-CB61-4149-9540-1A7DD17BC592
Q111355906,Tabe Tando Ndieb Nso,Q607499,Région du Sud-Ouest,2018-03-25,,Q111355906-EC0CD9BF-507B-4E8E-8F7C-58FBB6532DF5
Q111355907,Tobbo Eyoum Thomas,Q845172,Littoral,2018-03-25,,Q111355907-2AE34225-0F3C-4B24-8C45-65FD8B32D440
Q111355912,Asta Yvonne,Q502341,Province du Nord,2018-03-25,,Q111355912-43221029-72D2-43FE-8B49-AE61B85A09F6
Q111364926,Alioum Alhadji,Q823976,Extrême-Nord,2018-03-25,,Q111364926-376F12C8-00FA-43CB-BE1E-57B1DEC9F406
Q111364930,Amrakaye Martin,Q823976,Extrême-Nord,2018-03-25,,Q111364930-961F8C6E-4F84-401A-BF44-8F18B201CAF1
Q111365027,Sale Charles,Q845168,Est,2018-03-25,,Q111365027-29382418-7887-4463-999B-94A571555327
Q111366145,Ndanga Ndinga Badel,Q845168,Est,2018-03-25,,Q111366145-A01D2780-631B-48B3-B34A-3A8722214F6E
Q111416706,Afane Gisele Solange,Q857122,Région du Sud,2018-03-25,,Q111416706-F0A7B147-F4FB-4377-8DC3-CF7A7CE34D98
Q111416707,Ajuoh Ngam Honoré,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416707-5A472E12-B56E-4A90-9E45-92A297E412C2
Q111416708,Amougou Bernard,Q857122,Région du Sud,2018-03-25,,Q111416708-72A3C540-F1E2-4157-97D0-9C61E4D2491C
Q111416759,Assouho Epse Tokpanou Djole,Q845168,Est,2018-03-25,,Q111416759-E804B8CA-09A5-417E-83CE-6DFF810974F5
