name,item,party,partyLabel,area,areaLabel,position
PATEHALE Jean Claude,,Q953447,RDPC,Q502341,Nord,
PENNE Robert,,Q953447,RDPC,Q845168,Est,
SAKATAI Claude,,Q953447,RDPC,Q823976,Extrême Nord,
SALE Charles,,Q953447,RDPC,Q845168,Est,
SALY ABDOURAHMAN ABBASSI,,,NUDP,Q502341,Nord,
SHEY NDZE Sammy,,Q1470113,SDF,Q823946,Nord Ouest,
MANAMOUROU épse SILIKAM,,Q953447,RDPC,Q823976,EXTREME NORD,
SIMO Emmanuel,,Q1470113,SDF,Q165784,Ouest,
SIYAM SIEWE Alphonse,,Q953447,RDPC,Q165784,Ouest,
SOULEYMANOU SALI,,Q953447,RDPC,Q502341,Nord,
TADONKENG Maurice,,Q1470113,SDF,Q165784,Ouest,
TANSAH Jones NDZIE,,Q1470113,SDF,Q823946,Nord Ouest,
TASI NTANG Lucas,,Q1470113,SDF,Q823946,Nord Ouest,
TCHANA MESACK,,Q953447,RDPC,Q165784,Ouest,
TCHATCHOUANG Paul,,Q1470113,SDF,Q165784,Ouest,
