name,item,party,partyLabel,area,areaLabel,position
ETOUNDI AYISSI FLORENT MESMIN,,Q953447,RDPC,Q739951,CENTRE,
ETOUNDI NGOA Laurent,,Q953447,RDPC,Q739951,CENTRE,
EYEBE LEBOGO Paul,,Q953447,RDPC,Q739951,Centre,
EYombwan Brunot,,Q1470113,SDF,Q845172,Littoral,
FETEKOUE MADE,,Q953447,RDPC,Q823976,Extrême Nord,
FON DOH GAH GWANYIN III,,Q953447,RDPC,Q823976,Extrême Nord,
FONING née TSOUBGNY NGUIAZONG Françoise,,Q953447,RDPC,Q845172,Littotal,
FONSO Peter CHOO,,Q1470113,SDF,Q823946,Nord Ouest,
FOPOUSSI EVARISTE,,Q1470113,SDF,Q165784,OUEST,
FOUEDJEU PIERRE,,Q953447,RDPC,Q165784,OUEST,
GAOU Andre,,Q953447,RDPC,Q823976,Extrême Nord,
GODOM GADJERE Etienne,,Q953447,RDPC,Q823976,Extrême Nord,
GOMBOL Félix,,Q953447,RDPC,Q823976,Extrême Nord,
GONONDO Jean,,Q953447,RDPC,Q823976,Extrême Nord,
GUYAT Emile AHMADOU,,Q953447,CPDM,Q823976,Far NORD,
