name,item,party,partyLabel,area,areaLabel,position
DAKOLE DAISSALA,,Q15195678,MDR,Q823976,EXTREME NORD,
DANATA PAUL,,Q953447,CPDM,Q845168,EaST,
DEWA MOHAMAN,,Q953447,RDPC,Q502341,NORD,
DIVAWOUI Benoît,,Q953447,RDPC,Q502341,Nord,
DJAFAROU MOHAMADOU,,Q953447,CPDM,Q351514,Adamawa,
DJAMARA LOURSANTOU,,Q953447,RDPC,Q823976,Extrême Nord,
DOOH PRISO EMMANUEL,,Q953447,RDPC,Q845172,Littoral,
EBAI John TONG,,Q1470113,SDF,Q607499,Sud Ouest,
EBANGA EKATA GASTON,,Q953447,CPDM,Q857122,South,
EFFOE Johnson VEKIMA,,Q1470113,SDF,Q607499,Sud Ouest,
EFOUA MBOZO'O SAMUEL,,Q953447,RDPC,Q857122,SUD,
EGBE BATUO Stephen,,Q953447,RDPC,Q607499,Sud Ouest,
EKOUMOU EVOUNA,,Q953447,RDPC,Q739951,Centre,
ETONG NDZOK Hilarion,,Q953447,RDPC,Q739951,Centre,
ETOUKI MENKOUE,,Q953447,RDPC,Q845168,Est,
