name,item,party,partyLabel,area,areaLabel,position
KEYANFE Jean Robert,,Q1470113,SDF,Q165784,Ouest,
KOAH SONGO Gabriel,,Q953447,CPDM,Q739951,Centre,
KODOCK Augustin Fréderick,,Q1860584,UPC,Q739951,Centre,
KONGLIMNYUY Joseph KWI,,Q1470113,SDF,Q823946,Nord Ouest,
KUBUKU C.OYONG,,Q953447,RDPC,Q607499,Sud Ouest,
KWEMO Pierre,,Q1470113,SDF,Q165784,Ouest,
LEBOGO BESSALA Longin,,Q953447,RDPC,Q739951,Centre,
LONGTCHI Abenicot,,Q1470113,SDF,Q845172,Littoral,
MAKA Daniel,,Q953447,RDPC,Q845172,Littoral,
MAMOUDOU ABDOURAMANI,,Q6979097,UNDP,Q823976,Extrême Nord,
MANDENG AMBASSA Patrice,,Q953447,RDPC,Q739951,Centre,
MBAH NDAM Joseph NJANG,,Q1470113,SDF,Q823946,Nord Ouest,
MBANG Reuben AWUH,,Q1470113,SDF,Q823946,Nord Ouest,
MBARGA MVONDO Jean Albert,,Q953447,RDPC,Q857122,Sud,
MBIAM Emmanuel,,Q953447,RDPC,Q857122,Sud,
