name,item,party,partyLabel,area,areaLabel,position
MBINKAR NGONG Michael,,Q1470113,SDF,Q823946,Nord ouest,
MENGOLO AVOMO Raymond,,Q953447,RDPC,Q857122,Sud,
MESSEBE ABENG Prosper,,Q953447,RDPC,Q739951,Centre,
MOKUBE Martin MASSA,,Q953447,RDPC,Q607499,Sud Ouest,
MONGKUO NGUPEPONG Laurence,,Q1470113,SDF,Q165784,Ouest,
MONTHE NKOUOBITE Jean,,Q1470113,SDF,Q165784,west,
MOSAKI Elias NJIO,,Q953447,RDPC,Q607499,Sud Ouest,
MOUATONG MOUATONG,,Q1470113,SDF,Q845172,Littoral,
MOUKOURI DINA MANGA Bell Charles,,Q1470113,SDF,Q845172,Littoral,
MOULIOM MAH ISSA,,Q3550257,UDC,Q845172,Littoral,
MUKETE Abel,,Q953447,RDPC,Q607499,Sud Ouest,
MVONDO ASSAM Bonaventure,,Q953447,RDPC,Q857122,Sud,
NAJEME Samy NJUMBE EKEMA,,Q953447,RDPC,Q607499,Sud Ouest,
NAMATA EWANGA Ebenezer,,Q953447,CPDM,Q607499,South west,
NAMONGO NDELEY Benedict,,Q953447,RDPC,Q607499,Sud Ouest,
