name,item,party,partyLabel,area,areaLabel,position
HAMADOU BOBODJI,,Q6979097,UNDP,Q351514,Adamaoua,
HAMADOU MALLOUM,,Q6979097,UNDP,Q823976,EXTREME NORD,
HAMADOU SALI,,Q953447,RDPC,Q823976,EXTREME NORD,
HAMAN TCHIOUTO,,Q953447,RDPC,Q823976,Extême Nord,
HAMIDOU,,Q953447,RDPC,Q351514,Adamaoua,
HAROUNA NYAKO,,Q953447,RDPC,Q502341,Nord,
HELE Pierre,,Q6979097,UNDP,Q823976,Extrême Nord,
JUA Paulinus TOH,,Q1470113,SDF,Q823946,Nord Ouest,
KACK KACK Etienne Gérard,,Q953447,RDPC,Q739951,Centre,
Kdji Jean Patrice,,Q1470113,SDF,Q845172,Littoral,
KALVOKSOU RIGOBERT,,Q953447,CPDM,Q823976,Far NORTH,
KAMSSOULOUM ABBA HABIR,,Q953447,RDPC,Q823976,EXTREME NORD,
KENFACK Christophe,,Q953447,RDPC,Q165784,Ouest,
KENMOGNE Yvette Claudine,,Q953447,RDPC,Q739951,Centre,
KERBAI LAOUKOURA Jean,,Q953447,RDPC,Q502341,Nord,
