name,item,party,partyLabel,area,areaLabel,position
ABAKAR MAHAMAT,,Q953447,RDPC,Q823976,EXTREME NORD,
ABBA BOUKAR,,Q953447,RDPC,Q823976,EXTREME NORD,
ABBO André Théodore,,Q6979097,UNDP,Q351514,ADAMAOUA,
ABBO MOHOMADOU,,Q6979097,UNDP,Q351514,ADAMAOUA,
ABDOULAYE BOUGUE,,Q953447,RDPC,Q502341,NORD,
ADAMA MODI,,Q953447,RDPC,Q823976,EXTREME NORD,
ADAMOU NDAM NJOYA,,Q3550257,UDC,Q165784,OUEST,
ADJI Marie-Paule,,Q6979097,UNDP,Q351514,Adamaoua,
ADJIBOLO Philémon,,Q953447,RDPC,Q845168,EST,
AKA AMUAM Joseph,,Q1470113,SDF,Q823946,Nord Ouest,
AKONTEH Andrew BENGKAH BABILA,,Q1470113,SDF,Q823946,Nord Ouest,
AKTAI ALAOU,,Q953447,RDPC,Q823976,EXTREME NORD,
ALI ADJIT,,Q953447,RDPC,Q823976,EXTREME NORD,
AMADOU MOHAMAN,,Q6979097,UNDP,Q502341,NORD,
AMBELA FOUMENA LOUIS,,Q953447,RDPC,Q739951,CENTRE,
