name,item,party,partyLabel,area,areaLabel,position
TCHOUA Jean Pierre,,Q1470113,SDF,Q845172,Littoral,
TCHOUTA MOUSSA MBATKAM Jean,,Q953447,RDPC,Q165784,Ouest,
TCHUENKAM,,Q1470113,SDF,Q165784,west,
TESSUE Daniel,,Q1470113,SDF,Q165784,Ouest,
TIANI YUINANG Fidèle,,Q953447,RDPC,Q845172,Littoral,
TJOUES née HANGLOP Généviève.,,Q953447,RDPC,Q845172,Littoral,
TOBBO EYOUM Thomas,,Q953447,RDPC,Q845172,Littoral,
TOMEDI NDANDO Victoria,,Q1470113,SDF,Q607499,Sud Ouest,
TSITSOL Louis Philippe,,Q953447,RDPC,Q845168,Est,
TSOMELOU Jean,,Q1470113,SDF,Q165784,Ouest,
YONDO Marcel,,,MLDC,Q845172,Littoral,
YOYO MOHMBANKAH Emmanuel,,Q1470113,SDF,Q823946,Nord Ouest,
ZAORO ADAMOU Samuel,,Q953447,RDPC,Q845168,Est,
ZIMRI Jean Baptiste,,Q953447,RDPC,Q823976,EXTREME NORD,
ZONDOL HERSSESSE,,Q953447,RDPC,Q823976,Extrême Nord,
